id_siniestro,id_poliza,fecha_siniestro,monto_siniestro,estado,motivo_rechazo
85,7153,2026-01-23,5079.34,No Especificado,estado_invalido
86,25554,2025-03-13,,No Especificado,montoSiniestro_invalido;estado_invalido
92,13736,2025-03-28,,No Especificado,montoSiniestro_invalido;estado_invalido
94,15160,2025-01-14,3322.55,No Especificado,estado_invalido
95,17219,2025-01-04,4580.14,No Especificado,estado_invalido
97,13086,2025-01-01,,Rechazado,montoSiniestro_invalido
98,19925,2025-01-25,1228.19,No Especificado,estado_invalido
100,24052,2025-03-16,2342.67,No Especificado,estado_invalido
103,19170,2026-02-01,10183.94,No Especificado,estado_invalido
104,1153,2025-02-05,2580.4,No Especificado,estado_invalido
107,17613,2025-06-20,11560.34,No Especificado,estado_invalido
108,1500,2025-01-01,,Abierto,montoSiniestro_invalido
116,8222,2025-05-04,,Abierto,montoSiniestro_invalido
117,12941,2025-12-12,,Abierto,montoSiniestro_invalido
118,21719,2025-02-28,,Abierto,montoSiniestro_invalido
119,1874,2025-07-26,5171.14,No Especificado,estado_invalido
122,16832,2025-09-03,7489.48,No Especificado,estado_invalido
124,4535,2025-12-15,9389.56,No Especificado,estado_invalido
128,24167,2025-09-15,,No Especificado,montoSiniestro_invalido;estado_invalido
130,14357,2025-08-30,,Rechazado,montoSiniestro_invalido
131,21837,2025-05-09,13932.1,No Especificado,estado_invalido
132,1290,2025-03-01,9918.51,No Especificado,estado_invalido
133,5720,2025-02-28,,Abierto,montoSiniestro_invalido
134,7223,2025-04-22,,Abierto,montoSiniestro_invalido
142,14587,2026-02-17,,Abierto,montoSiniestro_invalido
143,2790,2025-10-13,,Rechazado,montoSiniestro_invalido
148,9556,2025-06-19,,Cerrado,montoSiniestro_invalido
153,7402,2025-03-26,,Abierto,montoSiniestro_invalido
154,11333,2026-01-07,,No Especificado,montoSiniestro_invalido;estado_invalido
155,17654,2025-03-22,13419.79,No Especificado,estado_invalido
161,12821,2025-01-29,1663.96,No Especificado,estado_invalido
163,3344,2026-02-01,,Cerrado,montoSiniestro_invalido
166,3400,2025-10-30,11123.38,No Especificado,estado_invalido
170,14794,2025-12-30,,Abierto,montoSiniestro_invalido
175,6907,2025-06-12,12028.02,No Especificado,estado_invalido
177,15938,2025-11-25,13797.55,No Especificado,estado_invalido
179,12699,2026-01-22,1452.35,No Especificado,estado_invalido
180,13273,2025-01-15,14255.51,No Especificado,estado_invalido
183,15820,2025-06-27,,Rechazado,montoSiniestro_invalido
186,14257,2026-01-14,,Abierto,montoSiniestro_invalido
188,9285,2025-07-04,3554.71,No Especificado,estado_invalido
189,11691,2026-01-17,,Abierto,montoSiniestro_invalido
190,15565,2025-06-23,,Abierto,montoSiniestro_invalido
193,19056,2025-02-12,,Abierto,montoSiniestro_invalido
197,5812,2025-07-08,12806.56,No Especificado,estado_invalido
199,15158,2025-09-12,,Abierto,montoSiniestro_invalido
201,10253,2026-01-01,,No Especificado,montoSiniestro_invalido;estado_invalido
202,6793,2025-08-30,,Cerrado,montoSiniestro_invalido
204,11440,2025-01-28,,Rechazado,montoSiniestro_invalido
209,16837,2025-08-20,11810.11,No Especificado,estado_invalido
212,14352,2025-05-18,8847.32,No Especificado,estado_invalido
216,8726,2025-07-23,4346.45,No Especificado,estado_invalido
219,25727,2026-02-04,,Cerrado,montoSiniestro_invalido
223,2629,2025-08-10,3642.77,No Especificado,estado_invalido
225,19366,2025-05-20,851.04,No Especificado,estado_invalido
228,9398,2025-09-26,,Abierto,montoSiniestro_invalido
234,16501,2025-04-10,,No Especificado,montoSiniestro_invalido;estado_invalido
236,22678,2025-11-11,,Abierto,montoSiniestro_invalido
237,24184,2025-07-13,13713.94,No Especificado,estado_invalido
238,19973,2025-08-01,,Rechazado,montoSiniestro_invalido
239,22979,2025-11-05,,Cerrado,montoSiniestro_invalido
240,15810,2025-03-10,,Rechazado,montoSiniestro_invalido
243,9965,2025-02-27,4275.37,No Especificado,estado_invalido
244,3256,2025-07-09,,Abierto,montoSiniestro_invalido
247,23410,2025-04-29,8598.25,No Especificado,estado_invalido
249,18003,2025-08-02,14986.14,No Especificado,estado_invalido
250,2158,2025-05-20,,Abierto,montoSiniestro_invalido
251,21022,2025-07-18,,Rechazado,montoSiniestro_invalido
255,24181,2025-09-02,3638.1,No Especificado,estado_invalido
256,1939,2025-11-03,7149.72,No Especificado,estado_invalido
260,17781,2025-03-11,14206.04,No Especificado,estado_invalido
262,17232,2025-02-27,,Abierto,montoSiniestro_invalido
264,13686,2025-09-10,,Abierto,montoSiniestro_invalido
267,13995,2025-09-08,6273.55,No Especificado,estado_invalido
269,20302,2025-11-29,12935.03,No Especificado,estado_invalido
271,16423,2025-06-10,12531.38,No Especificado,estado_invalido
274,22521,2025-09-12,6246.09,No Especificado,estado_invalido
277,4835,2025-11-21,10216.4,No Especificado,estado_invalido
278,12350,2026-02-02,2215.15,No Especificado,estado_invalido
280,3145,2025-08-11,2935.1,No Especificado,estado_invalido
283,17276,2025-04-06,8841.01,No Especificado,estado_invalido
291,367,2025-12-04,9606.53,No Especificado,estado_invalido
293,10362,2025-09-24,8077.52,No Especificado,estado_invalido
296,2362,2026-11-01,,Rechazado,montoSiniestro_invalido
298,6809,2025-10-20,1486.47,No Especificado,estado_invalido
302,22748,2025-12-04,5352.07,No Especificado,estado_invalido
303,1719,2025-11-14,,Abierto,montoSiniestro_invalido
305,13740,2025-12-25,,Abierto,montoSiniestro_invalido
306,11979,2025-05-24,3782.57,No Especificado,estado_invalido
307,9896,2026-02-19,9098.49,No Especificado,estado_invalido
308,15831,2025-06-07,4383.22,No Especificado,estado_invalido
310,18660,2025-11-24,7735.22,No Especificado,estado_invalido
313,12886,2025-03-26,,Abierto,montoSiniestro_invalido
314,6169,2025-08-08,,Cerrado,montoSiniestro_invalido
316,19243,2025-11-19,2098.28,No Especificado,estado_invalido
317,7504,2025-06-12,6038.6,No Especificado,estado_invalido
319,4709,2025-07-17,,Cerrado,montoSiniestro_invalido
323,17082,2025-11-05,11204.61,No Especificado,estado_invalido
325,25648,2025-11-14,-12908.94,No Especificado,estado_invalido
326,6507,2025-11-06,6243.4,No Especificado,estado_invalido
330,13177,2025-09-03,,No Especificado,montoSiniestro_invalido;estado_invalido
331,16704,2025-08-12,,No Especificado,montoSiniestro_invalido;estado_invalido
336,23055,2025-12-29,,No Especificado,montoSiniestro_invalido;estado_invalido
337,15288,2025-02-20,4485.08,No Especificado,estado_invalido
338,13062,2025-08-16,,No Especificado,montoSiniestro_invalido;estado_invalido
341,21940,2025-03-23,11851.07,No Especificado,estado_invalido
342,5070,2025-11-22,6723.23,No Especificado,estado_invalido
347,18616,2025-07-13,,Cerrado,montoSiniestro_invalido
348,3786,2026-09-02,3564.35,No Especificado,estado_invalido
351,4779,2025-05-29,,Cerrado,montoSiniestro_invalido
353,21230,2025-10-14,,Abierto,montoSiniestro_invalido
355,23407,2025-09-08,,Cerrado,montoSiniestro_invalido
357,3742,2026-01-14,,No Especificado,montoSiniestro_invalido;estado_invalido
358,5810,2025-11-18,6718.36,No Especificado,estado_invalido
362,18426,2025-04-19,,Abierto,montoSiniestro_invalido
364,16748,2025-08-24,7756.38,No Especificado,estado_invalido
374,24381,2025-07-27,,Abierto,montoSiniestro_invalido
376,18210,2025-04-21,13180.58,No Especificado,estado_invalido
380,19177,2025-11-20,,No Especificado,montoSiniestro_invalido;estado_invalido
381,18189,2026-01-31,,Cerrado,montoSiniestro_invalido
382,13149,2026-02-13,5788.34,No Especificado,estado_invalido
383,3726,2026-02-08,,Cerrado,montoSiniestro_invalido
385,3696,2026-12-02,2099.51,No Especificado,estado_invalido
386,20394,2026-01-19,,No Especificado,montoSiniestro_invalido;estado_invalido
387,7121,2025-03-16,101.74,No Especificado,estado_invalido
388,8625,2025-10-30,4076.28,No Especificado,estado_invalido
391,24690,2025-01-25,5736.62,No Especificado,estado_invalido
393,19824,2025-11-11,,No Especificado,montoSiniestro_invalido;estado_invalido
394,7220,2025-07-25,6657.59,No Especificado,estado_invalido
400,6936,2025-02-08,8411.6,No Especificado,estado_invalido
401,12559,2025-01-26,,Rechazado,montoSiniestro_invalido
402,22663,2025-04-29,11363.64,No Especificado,estado_invalido
404,4048,2025-12-14,,No Especificado,montoSiniestro_invalido;estado_invalido
407,15499,2026-07-02,,Abierto,montoSiniestro_invalido
408,15018,2026-02-19,13987.17,No Especificado,estado_invalido
410,20008,2025-06-09,908.44,No Especificado,estado_invalido
411,15930,2025-09-21,,Abierto,montoSiniestro_invalido
414,1039,2025-11-28,6928.26,No Especificado,estado_invalido
415,10705,2025-10-03,4372.08,No Especificado,estado_invalido
418,19027,2025-02-20,,Abierto,montoSiniestro_invalido
421,5615,2025-09-23,9744.9,No Especificado,estado_invalido
423,11261,2025-03-24,,Abierto,montoSiniestro_invalido
427,19205,2026-01-05,8961.5,No Especificado,estado_invalido
428,20511,2025-09-12,1741.82,No Especificado,estado_invalido
429,10083,2025-08-08,4186.36,No Especificado,estado_invalido
431,16556,2025-10-30,,Cerrado,montoSiniestro_invalido
435,15659,2025-02-15,,No Especificado,montoSiniestro_invalido;estado_invalido
436,4058,2026-01-07,13142.69,No Especificado,estado_invalido
438,20439,2025-09-22,,Cerrado,montoSiniestro_invalido
439,23475,2025-01-03,,No Especificado,montoSiniestro_invalido;estado_invalido
443,11757,2025-06-27,7553.76,No Especificado,estado_invalido
444,23715,2025-02-19,2748.13,No Especificado,estado_invalido
445,7801,2025-01-27,,Rechazado,montoSiniestro_invalido
446,849,2025-07-07,966.15,No Especificado,estado_invalido
447,24783,2025-05-16,3775.66,No Especificado,estado_invalido
452,1835,2025-04-14,6449.29,No Especificado,estado_invalido
453,14614,2025-10-12,5081.75,No Especificado,estado_invalido
454,18671,2025-05-17,14655.73,No Especificado,estado_invalido
455,11674,2025-05-22,,Cerrado,montoSiniestro_invalido
456,6812,2026-02-24,10457.09,No Especificado,estado_invalido
457,4234,2025-10-22,,Rechazado,montoSiniestro_invalido
458,22894,2025-11-16,13379.41,No Especificado,estado_invalido
459,19084,2025-06-05,11662.9,No Especificado,estado_invalido
460,9557,2025-03-07,11367.71,No Especificado,estado_invalido
461,9517,2025-10-27,,No Especificado,montoSiniestro_invalido;estado_invalido
469,10808,2025-12-30,3705.92,No Especificado,estado_invalido
474,12213,2025-05-04,,No Especificado,montoSiniestro_invalido;estado_invalido
475,13039,2025-10-13,,No Especificado,montoSiniestro_invalido;estado_invalido
476,4147,2025-09-01,,Rechazado,montoSiniestro_invalido
479,4770,2025-07-06,,Cerrado,montoSiniestro_invalido
480,23674,2025-06-27,192.04,No Especificado,estado_invalido
481,5991,2025-08-25,,Rechazado,montoSiniestro_invalido
483,1067,2025-07-27,5411.94,No Especificado,estado_invalido
485,23236,2025-08-13,9341.17,No Especificado,estado_invalido
488,7922,2025-05-08,,Abierto,montoSiniestro_invalido
490,9596,2025-07-24,-6745.26,No Especificado,estado_invalido
493,12637,2025-01-24,13814.68,No Especificado,estado_invalido
495,3898,2025-10-29,12255.39,No Especificado,estado_invalido
497,17866,2026-01-28,5018.42,No Especificado,estado_invalido
498,16934,2025-09-29,6665.81,No Especificado,estado_invalido
506,23610,2025-02-03,,No Especificado,montoSiniestro_invalido;estado_invalido
507,14126,2026-01-26,7410.93,No Especificado,estado_invalido
508,11505,2025-04-17,4336.27,No Especificado,estado_invalido
509,9632,2026-01-24,11512.22,No Especificado,estado_invalido
510,24704,2025-05-08,,Abierto,montoSiniestro_invalido
511,9290,2025-01-30,2170.06,No Especificado,estado_invalido
513,19811,2025-09-01,,Abierto,montoSiniestro_invalido
514,749,2026-01-26,,Abierto,montoSiniestro_invalido
516,18551,2025-01-03,3577.31,No Especificado,estado_invalido
517,19123,2026-02-24,,Rechazado,montoSiniestro_invalido
518,5192,2025-03-14,,Cerrado,montoSiniestro_invalido
524,3266,2025-04-19,,Abierto,montoSiniestro_invalido
528,21844,2026-01-16,1897.7,No Especificado,estado_invalido
531,16681,2025-10-21,,Cerrado,montoSiniestro_invalido
541,17082,2025-04-25,12640.91,No Especificado,estado_invalido
542,13402,2025-07-02,6580.87,No Especificado,estado_invalido
543,22193,2025-07-13,,No Especificado,montoSiniestro_invalido;estado_invalido
548,320,2025-07-13,6636.52,No Especificado,estado_invalido
554,25784,2025-10-05,,Cerrado,montoSiniestro_invalido
556,6947,2025-12-13,,Abierto,montoSiniestro_invalido
559,24920,2026-01-02,,No Especificado,montoSiniestro_invalido;estado_invalido
565,19612,2025-01-24,,Rechazado,montoSiniestro_invalido
567,21236,2025-09-30,542.33,No Especificado,estado_invalido
568,7634,2025-01-20,,No Especificado,montoSiniestro_invalido;estado_invalido
569,13976,2025-08-12,11416.44,No Especificado,estado_invalido
574,21648,2025-06-23,,Cerrado,montoSiniestro_invalido
581,17730,2025-08-18,6180.21,No Especificado,estado_invalido
584,7265,2025-05-07,,No Especificado,montoSiniestro_invalido;estado_invalido
587,22918,2025-10-26,2427.43,No Especificado,estado_invalido
592,11961,2025-10-12,8976.92,No Especificado,estado_invalido
593,25605,2025-04-02,6324.53,No Especificado,estado_invalido
595,16802,2025-03-01,,Cerrado,montoSiniestro_invalido
597,22326,2025-09-16,11586.97,No Especificado,estado_invalido
600,25582,2025-09-28,13159.89,No Especificado,estado_invalido
601,12091,2025-02-03,,Abierto,montoSiniestro_invalido
602,11450,2025-10-07,5353.0,No Especificado,estado_invalido
604,1034,2026-01-16,7672.14,No Especificado,estado_invalido
605,24391,2025-07-23,,Cerrado,montoSiniestro_invalido
606,9853,2025-08-13,13270.26,No Especificado,estado_invalido
607,7941,2026-01-15,2490.28,No Especificado,estado_invalido
611,17162,2026-02-15,,Abierto,montoSiniestro_invalido
612,3316,2025-08-13,,No Especificado,montoSiniestro_invalido;estado_invalido
617,17670,2025-03-02,,Rechazado,montoSiniestro_invalido
618,1023,2025-02-02,,Rechazado,montoSiniestro_invalido
621,2841,2025-01-11,5695.4,No Especificado,estado_invalido
622,1623,2026-01-02,8782.83,No Especificado,estado_invalido
623,10760,2025-03-09,14910.95,No Especificado,estado_invalido
625,24203,2025-06-21,,Rechazado,montoSiniestro_invalido
628,23681,2026-01-27,,No Especificado,montoSiniestro_invalido;estado_invalido
629,9818,2025-08-11,,Abierto,montoSiniestro_invalido
630,1708,2026-02-13,11486.29,No Especificado,estado_invalido
632,14193,2025-08-21,2506.71,No Especificado,estado_invalido
634,18267,2025-12-31,6524.1,No Especificado,estado_invalido
636,22410,2025-02-21,,No Especificado,montoSiniestro_invalido;estado_invalido
639,10248,2025-04-07,1516.11,No Especificado,estado_invalido
644,21088,2025-11-26,5253.85,No Especificado,estado_invalido
647,22110,2025-08-19,,Cerrado,montoSiniestro_invalido
651,16433,2025-06-26,10165.98,No Especificado,estado_invalido
652,8973,2026-01-19,,Abierto,montoSiniestro_invalido
653,8325,2025-11-29,3436.47,No Especificado,estado_invalido
654,19098,2025-01-28,11940.83,No Especificado,estado_invalido
656,7208,2025-03-11,10346.31,No Especificado,estado_invalido
661,6981,2025-10-21,,No Especificado,montoSiniestro_invalido;estado_invalido
662,15605,2025-12-16,,Abierto,montoSiniestro_invalido
663,15104,2025-04-12,13252.17,No Especificado,estado_invalido
664,5731,2026-02-21,5577.51,No Especificado,estado_invalido
666,10515,2025-11-01,1415.47,No Especificado,estado_invalido
668,12401,2025-01-04,,Rechazado,montoSiniestro_invalido
671,9678,2025-07-02,3157.22,No Especificado,estado_invalido
672,18183,2025-03-26,14404.32,No Especificado,estado_invalido
675,4118,2026-01-30,11468.98,No Especificado,estado_invalido
676,25652,2025-11-12,4329.18,No Especificado,estado_invalido
679,777,2025-01-27,5565.28,No Especificado,estado_invalido
681,6234,2025-10-15,,No Especificado,montoSiniestro_invalido;estado_invalido
686,20908,2025-11-06,7236.55,No Especificado,estado_invalido
687,15875,2025-06-18,,Rechazado,montoSiniestro_invalido
688,9946,2025-01-14,10893.34,No Especificado,estado_invalido
691,12163,2025-11-04,,Abierto,montoSiniestro_invalido
695,21466,2025-11-28,3201.99,No Especificado,estado_invalido
696,7945,2025-09-18,7898.62,No Especificado,estado_invalido
698,18567,2025-01-20,,Cerrado,montoSiniestro_invalido
700,19484,2025-01-03,5388.51,No Especificado,estado_invalido
701,10012,2025-12-02,5662.35,No Especificado,estado_invalido
703,6331,2025-10-02,2355.04,No Especificado,estado_invalido
704,13263,2025-11-17,,Cerrado,montoSiniestro_invalido
708,25560,2026-02-02,,Rechazado,montoSiniestro_invalido
709,16266,2025-01-16,,Cerrado,montoSiniestro_invalido
710,24697,2025-02-12,10893.55,No Especificado,estado_invalido
711,24433,2025-10-16,,Cerrado,montoSiniestro_invalido
716,12752,2025-09-16,118.87,No Especificado,estado_invalido
717,17888,2025-06-29,,No Especificado,montoSiniestro_invalido;estado_invalido
725,9321,2026-02-01,7244.32,No Especificado,estado_invalido
726,20483,2026-01-31,,Rechazado,montoSiniestro_invalido
728,19693,2025-02-08,2934.75,No Especificado,estado_invalido
730,16114,2025-01-18,,Abierto,montoSiniestro_invalido
734,906,2025-06-07,3328.44,No Especificado,estado_invalido
735,10034,2025-05-15,325.07,No Especificado,estado_invalido
738,21149,2025-04-09,12608.36,No Especificado,estado_invalido
740,10643,2025-02-04,,Cerrado,montoSiniestro_invalido
741,22401,2025-12-21,5135.94,No Especificado,estado_invalido
742,6027,2025-12-03,8073.42,No Especificado,estado_invalido
743,17172,2025-09-05,3761.89,No Especificado,estado_invalido
746,10464,2025-09-02,,Cerrado,montoSiniestro_invalido
751,19485,2025-08-04,11169.95,No Especificado,estado_invalido
752,3750,2025-01-10,12176.52,No Especificado,estado_invalido
754,6917,2025-07-23,14564.02,No Especificado,estado_invalido
756,14767,2026-02-18,,No Especificado,montoSiniestro_invalido;estado_invalido
758,20407,2025-08-31,,Rechazado,montoSiniestro_invalido
759,8302,2025-09-19,3052.94,No Especificado,estado_invalido
760,20684,2025-08-02,,No Especificado,montoSiniestro_invalido;estado_invalido
762,18894,2025-09-23,11117.21,No Especificado,estado_invalido
763,21471,2025-12-02,7154.89,No Especificado,estado_invalido
765,23282,2025-01-19,1172.2,No Especificado,estado_invalido
766,11542,2025-11-15,,No Especificado,montoSiniestro_invalido;estado_invalido
771,25633,2025-12-10,,Cerrado,montoSiniestro_invalido
773,20762,2025-12-16,7728.89,No Especificado,estado_invalido
777,25653,2025-10-10,13048.69,No Especificado,estado_invalido
778,466,2025-07-30,14257.82,No Especificado,estado_invalido
779,6799,2025-07-08,,Abierto,montoSiniestro_invalido
783,16516,2025-04-17,7253.18,No Especificado,estado_invalido
784,8863,2025-12-05,,Cerrado,montoSiniestro_invalido
785,13180,2025-04-06,8136.02,No Especificado,estado_invalido
786,19362,2025-11-07,,No Especificado,montoSiniestro_invalido;estado_invalido
788,19721,2025-10-06,,Cerrado,montoSiniestro_invalido
790,9179,2026-11-02,,No Especificado,montoSiniestro_invalido;estado_invalido
791,786,2025-11-14,11956.55,No Especificado,estado_invalido
792,19152,2026-03-01,8222.52,No Especificado,estado_invalido
793,9967,2025-10-15,6943.75,No Especificado,estado_invalido
806,23617,2025-10-11,10174.82,No Especificado,estado_invalido
808,8362,2025-05-15,14553.74,No Especificado,estado_invalido
814,6170,2026-07-01,,No Especificado,montoSiniestro_invalido;estado_invalido
816,22324,2025-02-14,10355.24,No Especificado,estado_invalido
817,5151,2026-03-02,,Cerrado,montoSiniestro_invalido
821,17238,2025-11-30,,Abierto,montoSiniestro_invalido
825,22006,2025-10-23,5117.41,No Especificado,estado_invalido
828,2640,2026-05-01,8600.05,No Especificado,estado_invalido
829,17197,2025-12-12,6676.28,No Especificado,estado_invalido
830,11751,2025-04-09,,Abierto,montoSiniestro_invalido
834,4637,2026-02-16,,Abierto,montoSiniestro_invalido
835,16319,2025-10-18,9169.42,No Especificado,estado_invalido
838,1618,2025-12-09,,Abierto,montoSiniestro_invalido
839,5627,2025-05-13,,Abierto,montoSiniestro_invalido
840,12030,2025-07-30,,Rechazado,montoSiniestro_invalido
843,6564,2025-12-21,13205.44,No Especificado,estado_invalido
847,20614,2025-01-11,11042.11,No Especificado,estado_invalido
848,25755,2026-02-02,,Cerrado,montoSiniestro_invalido
854,7708,2026-11-02,-14084.73,No Especificado,estado_invalido
861,12983,2025-11-11,,Rechazado,montoSiniestro_invalido
862,18675,2026-02-10,10467.37,No Especificado,estado_invalido
865,21386,2025-06-08,,No Especificado,montoSiniestro_invalido;estado_invalido
868,6666,2026-02-02,853.04,No Especificado,estado_invalido
869,12599,2025-12-19,,Abierto,montoSiniestro_invalido
871,20090,2025-01-03,,Rechazado,montoSiniestro_invalido
876,20967,2025-08-19,1786.91,No Especificado,estado_invalido
877,7112,2025-10-13,9381.6,No Especificado,estado_invalido
879,15051,2025-06-13,10473.53,No Especificado,estado_invalido
880,11799,2025-03-15,,Cerrado,montoSiniestro_invalido
884,2828,2025-07-16,,Cerrado,montoSiniestro_invalido
885,12659,2025-03-03,9224.07,No Especificado,estado_invalido
886,9085,2025-04-22,,No Especificado,montoSiniestro_invalido;estado_invalido
888,13722,2025-11-07,698.38,No Especificado,estado_invalido
891,5149,2025-11-12,8959.0,No Especificado,estado_invalido
892,477,2025-03-24,,No Especificado,montoSiniestro_invalido;estado_invalido
893,15751,2025-10-16,4979.42,No Especificado,estado_invalido
894,20520,2026-05-01,5313.13,No Especificado,estado_invalido
896,19486,2025-01-15,,Rechazado,montoSiniestro_invalido
898,9095,2025-06-22,12669.98,No Especificado,estado_invalido
902,6042,2026-02-19,2072.73,No Especificado,estado_invalido
907,10899,2025-10-03,,Abierto,montoSiniestro_invalido
908,22889,2025-03-31,,Abierto,montoSiniestro_invalido
910,15374,2025-02-10,,Abierto,montoSiniestro_invalido
911,7753,2025-01-29,,No Especificado,montoSiniestro_invalido;estado_invalido
912,7100,2025-04-17,,Rechazado,montoSiniestro_invalido
915,22534,2025-05-09,,Abierto,montoSiniestro_invalido
917,6888,2025-05-01,12592.6,No Especificado,estado_invalido
920,13269,2025-09-18,8357.84,No Especificado,estado_invalido
924,4758,2025-09-11,-1173.6,No Especificado,estado_invalido
926,12960,2025-05-17,,Cerrado,montoSiniestro_invalido
927,9497,2026-01-01,8756.13,No Especificado,estado_invalido
929,7077,2025-03-15,,No Especificado,montoSiniestro_invalido;estado_invalido
930,19882,2026-01-17,7930.85,No Especificado,estado_invalido
931,10395,2025-06-18,9407.13,No Especificado,estado_invalido
933,21679,2025-02-07,8414.42,No Especificado,estado_invalido
934,8280,2025-07-14,,Rechazado,montoSiniestro_invalido
938,21310,2026-02-24,1907.58,No Especificado,estado_invalido
939,22950,2025-09-14,10651.65,No Especificado,estado_invalido
942,20787,2025-09-30,3926.48,No Especificado,estado_invalido
943,21096,2025-05-31,,Cerrado,montoSiniestro_invalido
944,16392,2025-02-11,,Cerrado,montoSiniestro_invalido
947,25720,2025-09-26,,Cerrado,montoSiniestro_invalido
950,12819,2025-06-29,,No Especificado,montoSiniestro_invalido;estado_invalido
951,23831,2026-01-17,,Rechazado,montoSiniestro_invalido
952,9363,2025-08-01,,Abierto,montoSiniestro_invalido
956,2405,2025-05-20,,Rechazado,montoSiniestro_invalido
958,7503,2025-06-20,11063.01,No Especificado,estado_invalido
959,23727,2026-02-01,,Abierto,montoSiniestro_invalido
960,1448,2026-01-21,10946.39,No Especificado,estado_invalido
961,7305,2025-03-09,,No Especificado,montoSiniestro_invalido;estado_invalido
962,6145,2025-07-24,,Abierto,montoSiniestro_invalido
963,23266,2025-10-23,,Cerrado,montoSiniestro_invalido
964,17969,2025-04-27,,Cerrado,montoSiniestro_invalido
969,16047,2025-04-21,,No Especificado,montoSiniestro_invalido;estado_invalido
973,826,2025-12-03,8506.95,No Especificado,estado_invalido
974,9936,2025-08-20,,No Especificado,montoSiniestro_invalido;estado_invalido
975,21736,2025-08-23,12466.51,No Especificado,estado_invalido
976,13491,2025-09-19,14763.99,No Especificado,estado_invalido
979,21383,2025-08-13,,Abierto,montoSiniestro_invalido
980,12364,2025-08-06,,Abierto,montoSiniestro_invalido
984,23321,2025-06-29,6275.77,No Especificado,estado_invalido
985,13966,2025-11-30,,Abierto,montoSiniestro_invalido
986,11266,2025-05-02,10351.13,No Especificado,estado_invalido
991,22158,2025-08-26,7637.27,No Especificado,estado_invalido
992,2475,2025-05-10,,Abierto,montoSiniestro_invalido
994,14120,2025-11-24,,Abierto,montoSiniestro_invalido
997,24838,2025-11-15,,Abierto,montoSiniestro_invalido
999,25689,2026-01-03,,Abierto,montoSiniestro_invalido
1000,18897,2025-12-29,354.26,No Especificado,estado_invalido
1001,3875,2025-07-22,4027.89,No Especificado,estado_invalido
1002,17643,2025-02-10,,Cerrado,montoSiniestro_invalido
1005,1804,2025-09-06,11494.27,No Especificado,estado_invalido
1006,13101,2025-11-17,8980.27,No Especificado,estado_invalido
1008,23461,2026-02-16,,No Especificado,montoSiniestro_invalido;estado_invalido
1013,20157,2025-06-12,,Cerrado,montoSiniestro_invalido
1014,1892,2025-01-18,,Abierto,montoSiniestro_invalido
1015,3822,2025-11-09,4198.73,No Especificado,estado_invalido
1017,25716,2025-03-30,,Cerrado,montoSiniestro_invalido
1019,17243,2025-03-15,7585.45,No Especificado,estado_invalido
1020,20476,2025-01-08,9638.23,No Especificado,estado_invalido
1021,6409,2025-09-06,,Abierto,montoSiniestro_invalido
1026,12458,2025-11-02,,Cerrado,montoSiniestro_invalido
1028,3752,2025-01-03,,Abierto,montoSiniestro_invalido
