id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado,motivo_rechazo
94,2026-02-04,222,41,5,10,,169.15,,prima_vacia;montoAsegurado_vacio
96,2025-10-18,1708,3,11,7,1777.93,,176358.08,comision_vacia
97,2025-08-29,2027,71,15,9,558.7,77.27,,montoAsegurado_vacio
98,,2106,65,10,8,1909.32,153.95,143459.97,fechaEmision_vacia
100,2025-12-20,2627,52,7,5,1998.94,487.51,,montoAsegurado_vacio
101,2025-07-04,976,48,11,11,,125.52,93713.3,prima_vacia
102,,5,66,13,12,1386.05,204.0,251864.93,fechaEmision_vacia
104,2025-10-20,3524,7,11,8,149.44,10.64,,montoAsegurado_vacio
105,2025-12-27,2797,80,3,1,209.72,52.0,,montoAsegurado_vacio
107,2025-07-27,1165,15,6,12,,50.04,87472.59,prima_vacia
109,2025-03-11,2693,6,13,6,,184.48,96331.45,prima_vacia
110,2026-01-12,185,46,8,5,,31.43,74435.27,prima_vacia
111,2025-02-16,2833,8,15,12,,222.8,185637.48,prima_vacia
112,2025-05-05,1463,74,7,2,1025.16,94.24,,montoAsegurado_vacio
113,2025-12-03,1715,34,3,6,,,,prima_vacia;comision_vacia;montoAsegurado_vacio
114,,1155,61,11,5,1237.26,,124263.17,fechaEmision_vacia;comision_vacia
115,2026-02-11,739,11,5,7,203.12,17.6,,montoAsegurado_vacio
116,2025-09-23,2659,80,8,10,,307.82,376125.57,prima_vacia
117,2025-03-01,2501,18,12,10,,2636.59,188099.37,prima_vacia
119,2025-04-07,1678,71,13,7,,,58628.84,prima_vacia;comision_vacia
120,2025-04-29,419,49,1,3,1427.78,,,comision_vacia;montoAsegurado_vacio
121,2025-05-26,1222,59,14,6,,,141963.43,prima_vacia;comision_vacia
122,2025-08-02,318,41,12,5,726.1,161.45,,montoAsegurado_vacio
123,2025-09-25,721,44,3,2,1879.38,437.85,,montoAsegurado_vacio
124,2025-11-07,2155,40,3,9,,83.53,,prima_vacia;montoAsegurado_vacio
125,2025-12-10,1886,12,13,12,,127.08,234686.27,prima_vacia
126,2025-10-07,1595,18,7,9,,291.84,,prima_vacia;montoAsegurado_vacio
128,2025-06-08,711,25,11,3,,379.89,175091.88,prima_vacia
131,2025-01-08,1953,72,9,2,751.39,,101267.63,comision_vacia
132,2025-05-23,2110,34,12,11,890.91,177.49,,montoAsegurado_vacio
134,2025-09-07,1690,4,11,9,,,42728.3,prima_vacia;comision_vacia
135,2026-01-24,1540,19,9,4,533.11,71.9,,montoAsegurado_vacio
136,,1873,36,14,4,685.85,97.17,,fechaEmision_vacia;montoAsegurado_vacio
137,,2544,48,8,12,1837.21,337.23,134569.61,fechaEmision_vacia
138,2025-11-29,984,50,3,10,,95.54,58320.88,prima_vacia
139,2025-03-09,2715,47,3,1,1887.69,,,comision_vacia;montoAsegurado_vacio
140,2025-02-17,1227,48,8,5,1435.54,163.56,,montoAsegurado_vacio
141,2025-01-14,2101,71,3,5,1904.59,167.05,,montoAsegurado_vacio
142,,821,56,4,5,1305.77,272.72,31298.47,fechaEmision_vacia
144,2025-05-01,354,71,15,10,219.57,53.42,,montoAsegurado_vacio
145,2025-04-20,2461,80,7,12,393.01,55.94,,montoAsegurado_vacio
146,2025-12-23,2899,27,9,2,,,143545.57,prima_vacia;comision_vacia
147,2025-10-24,1556,53,5,6,357.68,26.25,,montoAsegurado_vacio
149,2025-12-02,892,71,15,10,229.87,16.79,,montoAsegurado_vacio
152,2025-04-07,2349,79,7,4,0.0,,,comision_vacia;montoAsegurado_vacio
153,2026-01-28,1016,28,12,8,165.57,24.61,,montoAsegurado_vacio
154,2025-04-12,1023,24,4,5,,,,prima_vacia;comision_vacia;montoAsegurado_vacio
155,2025-05-05,1918,43,10,12,,9.96,3222.28,prima_vacia
156,2025-06-11,462,28,10,2,1793.62,,,comision_vacia;montoAsegurado_vacio
157,2025-10-08,2910,63,4,7,1762.17,,96305.3,comision_vacia
158,2025-04-08,1121,67,7,12,985.24,189.5,,montoAsegurado_vacio
159,2025-09-04,1637,5,2,5,748.78,82.65,,montoAsegurado_vacio
161,,1392,35,7,6,,155.21,167233.6,fechaEmision_vacia;prima_vacia
162,2025-02-15,1094,4,4,5,1760.71,326.32,,montoAsegurado_vacio
163,2025-04-01,354,12,10,7,,101.17,142724.83,prima_vacia
165,2026-02-04,2934,78,10,2,842.46,196.92,,montoAsegurado_vacio
168,2025-06-25,691,65,1,1,268.88,65.44,,montoAsegurado_vacio
169,,1166,41,10,3,,93.67,84578.57,fechaEmision_vacia;prima_vacia
171,2025-05-19,2320,39,9,5,225.23,,,comision_vacia;montoAsegurado_vacio
173,2025-12-31,1935,13,14,2,,116.08,128228.92,prima_vacia
174,2026-01-05,9,63,12,10,,70.76,11842.93,prima_vacia
175,,2362,59,6,5,386.3,78.61,,fechaEmision_vacia;montoAsegurado_vacio
176,2025-09-12,2956,62,5,9,,333.57,149134.25,prima_vacia
177,2025-03-22,355,72,14,1,,,56048.07,prima_vacia;comision_vacia
179,2025-01-05,2432,3,8,1,,240.54,260639.14,prima_vacia
180,2025-09-13,2894,5,10,9,507.43,,64390.94,comision_vacia
181,2025-01-31,1945,37,11,5,,210.72,,prima_vacia;montoAsegurado_vacio
182,,1953,74,6,1,1725.25,,94698.24,fechaEmision_vacia;comision_vacia
184,2025-04-27,1373,12,7,9,,128.95,49518.48,prima_vacia
185,2026-01-04,1468,27,7,12,1852.09,243.81,,montoAsegurado_vacio
186,2026-01-31,2129,30,8,3,,388.9,298913.7,prima_vacia
187,2025-01-04,2226,75,5,3,1327.21,,,comision_vacia;montoAsegurado_vacio
188,2025-10-01,1151,47,7,11,,102.66,130925.71,prima_vacia
190,2025-12-07,2854,70,13,4,953.96,,93787.36,comision_vacia
191,2025-11-12,837,34,12,3,,173.48,144639.86,prima_vacia
193,2025-07-22,1786,56,15,12,1316.23,,,comision_vacia;montoAsegurado_vacio
195,2025-10-17,1641,31,15,11,911.44,,129241.82,comision_vacia
197,2025-04-15,1558,49,4,11,1498.66,,228469.92,comision_vacia
198,2025-10-16,876,77,2,7,1351.69,68.96,,montoAsegurado_vacio
201,2025-06-29,2011,32,12,5,,209.81,,prima_vacia;montoAsegurado_vacio
202,2025-09-14,2346,4,11,6,,,,prima_vacia;comision_vacia;montoAsegurado_vacio
203,2025-08-16,1121,32,14,5,741.78,127.03,,montoAsegurado_vacio
208,2025-06-10,3614,78,4,4,472.52,36.01,,montoAsegurado_vacio
209,2026-02-07,1974,25,13,9,72.55,18.01,,montoAsegurado_vacio
210,2025-07-17,2680,12,10,5,,,,prima_vacia;comision_vacia;montoAsegurado_vacio
211,2025-09-30,1795,11,9,7,,237.61,171128.94,prima_vacia
212,2025-09-09,2876,13,10,7,213.27,,12711.02,comision_vacia
214,2025-12-20,743,54,13,12,306.05,17.31,,montoAsegurado_vacio
215,2025-02-26,483,71,7,1,,104.78,58056.65,prima_vacia
216,2025-04-04,1330,46,10,12,,,,prima_vacia;comision_vacia;montoAsegurado_vacio
218,2025-04-22,3630,1,9,2,,88.01,,prima_vacia;montoAsegurado_vacio
219,2025-02-22,1052,5,13,9,,176.78,,prima_vacia;montoAsegurado_vacio
220,2025-12-21,1871,34,6,7,,144.19,127817.41,prima_vacia
223,2025-09-23,1312,75,15,1,312.76,,44896.28,comision_vacia
229,2025-12-24,2625,10,5,1,1624.52,,,comision_vacia;montoAsegurado_vacio
230,2025-12-19,1245,6,13,3,238.5,,44718.94,comision_vacia
231,2025-01-22,2790,73,7,3,1729.95,,161771.05,comision_vacia
232,2025-05-25,1421,17,7,4,1546.13,170.23,,montoAsegurado_vacio
233,,2619,42,4,6,277.67,63.81,54034.44,fechaEmision_vacia
234,2025-04-28,2270,68,3,9,,157.51,380748.51,prima_vacia
235,,2895,65,8,2,,,193621.53,fechaEmision_vacia;prima_vacia;comision_vacia
237,2025-02-11,1137,37,6,3,,268.64,106698.49,prima_vacia
238,2025-12-16,1485,30,4,4,,368.63,,prima_vacia;montoAsegurado_vacio
239,2025-05-31,1236,77,10,8,760.38,,111154.53,comision_vacia
240,,536,15,6,10,,180.09,,fechaEmision_vacia;prima_vacia;montoAsegurado_vacio
241,2025-02-03,657,22,3,4,,199.83,,prima_vacia;montoAsegurado_vacio
242,2025-06-08,1884,61,12,8,548.88,77.84,,montoAsegurado_vacio
243,2025-10-09,634,16,14,3,,283.81,,prima_vacia;montoAsegurado_vacio
244,2026-01-26,1804,18,7,5,,133.24,81691.01,prima_vacia
245,2025-07-25,2704,51,1,5,,274.71,41044.61,prima_vacia
246,2025-09-24,2695,40,14,7,735.39,59.42,,montoAsegurado_vacio
247,2026-07-01,924,49,5,11,,131.17,274013.46,prima_vacia
248,2025-11-15,1011,64,10,4,1846.72,,320537.24,comision_vacia
249,2025-09-07,1500,73,4,6,,,,prima_vacia;comision_vacia;montoAsegurado_vacio
250,2025-04-02,1771,63,14,3,424.38,72.81,,montoAsegurado_vacio
251,2025-06-21,1262,68,1,5,601.96,120.32,,montoAsegurado_vacio
252,,1575,33,14,8,1422.87,76.42,,fechaEmision_vacia;montoAsegurado_vacio
254,2025-06-06,917,23,1,6,1042.39,132.79,,montoAsegurado_vacio
255,2025-03-22,2003,60,1,2,275.48,,,comision_vacia;montoAsegurado_vacio
256,2025-07-28,2083,71,12,9,,326.26,,prima_vacia;montoAsegurado_vacio
257,2025-04-19,2855,25,14,7,,132.4,17045.13,prima_vacia
259,2025-11-28,148,17,5,1,,,170301.72,prima_vacia;comision_vacia
260,2025-01-14,971,57,13,6,595.33,132.98,,montoAsegurado_vacio
262,2025-02-14,1441,1,12,7,,,,prima_vacia;comision_vacia;montoAsegurado_vacio
265,2025-08-12,184,62,13,9,264.84,,,comision_vacia;montoAsegurado_vacio
267,2025-01-17,761,60,1,12,836.8,,,comision_vacia;montoAsegurado_vacio
268,,1635,13,14,4,1161.47,87.66,,fechaEmision_vacia;montoAsegurado_vacio
270,2025-05-17,168,64,1,8,1079.04,,153797.15,comision_vacia
271,2025-04-20,1773,43,11,5,1395.69,,,comision_vacia;montoAsegurado_vacio
272,,2717,50,13,5,529.12,126.8,,fechaEmision_vacia;montoAsegurado_vacio
273,2025-04-12,2346,41,12,10,470.44,42.33,,montoAsegurado_vacio
274,2026-02-04,222,16,12,6,359.96,,,comision_vacia;montoAsegurado_vacio
275,2025-07-03,1637,46,5,1,1958.02,109.4,,montoAsegurado_vacio
276,2025-01-14,482,19,14,11,1238.05,,149205.72,comision_vacia
278,2025-11-04,1832,27,10,9,,150.96,,prima_vacia;montoAsegurado_vacio
279,2025-12-14,770,66,14,3,901.35,,39362.62,comision_vacia
282,2025-12-31,1190,6,4,6,102.19,24.17,,montoAsegurado_vacio
283,,254,65,13,12,311.5,25.08,,fechaEmision_vacia;montoAsegurado_vacio
286,2025-02-03,631,43,6,10,480.94,110.77,,montoAsegurado_vacio
289,2026-02-11,2696,62,12,7,,52.21,143989.06,prima_vacia
290,2025-04-13,326,61,2,6,,339.8,,prima_vacia;montoAsegurado_vacio
291,2025-05-05,281,54,1,9,,,132725.63,prima_vacia;comision_vacia
292,,1514,27,3,1,365.44,39.1,9478.09,fechaEmision_vacia
293,2025-10-28,175,24,15,1,,,158807.4,prima_vacia;comision_vacia
294,2025-08-19,2129,13,13,7,,212.49,,prima_vacia;montoAsegurado_vacio
295,2025-05-31,764,52,7,5,987.43,,164812.9,comision_vacia
296,2025-05-03,1812,77,13,11,,47.2,99611.28,prima_vacia
298,2026-02-10,2390,2,14,9,,396.87,,prima_vacia;montoAsegurado_vacio
299,2025-05-05,2724,18,5,7,1142.36,88.5,,montoAsegurado_vacio
301,2025-09-15,1579,72,11,1,,18.74,4988.88,prima_vacia
302,2025-04-25,679,60,1,6,,86.07,83621.21,prima_vacia
304,2025-05-01,917,41,15,9,673.03,106.8,,montoAsegurado_vacio
306,2025-07-06,619,17,10,2,,129.63,,prima_vacia;montoAsegurado_vacio
309,2025-08-17,980,20,1,5,529.37,91.01,,montoAsegurado_vacio
310,2025-07-25,355,53,6,6,,139.7,48271.62,prima_vacia
311,2026-01-18,236,19,8,12,662.47,34.15,,montoAsegurado_vacio
312,2025-06-13,1894,10,13,2,1944.37,129.58,,montoAsegurado_vacio
313,2026-01-25,2852,30,1,11,1736.83,,,comision_vacia;montoAsegurado_vacio
314,2025-03-16,444,68,4,1,,28.88,48398.37,prima_vacia
315,2025-06-05,282,9,6,12,644.32,97.22,,montoAsegurado_vacio
316,2026-01-27,3776,1,6,8,,177.07,106644.92,prima_vacia
317,2025-01-17,2621,19,2,8,70.91,17.25,,montoAsegurado_vacio
318,,380,58,11,9,779.52,,79294.65,fechaEmision_vacia;comision_vacia
319,2026-01-26,2874,9,1,11,726.96,,122532.96,comision_vacia
320,,2637,64,1,9,1224.21,261.15,183732.97,fechaEmision_vacia
321,2025-10-20,830,48,8,1,1344.7,,,comision_vacia;montoAsegurado_vacio
322,2025-08-19,454,75,11,3,850.81,,166822.37,comision_vacia
323,2025-01-14,2484,29,7,1,,76.06,83832.92,prima_vacia
324,2025-08-12,689,68,1,6,,391.8,260739.67,prima_vacia
325,2025-09-17,531,13,2,10,,126.53,,prima_vacia;montoAsegurado_vacio
326,2025-02-27,2429,22,3,1,740.5,,,comision_vacia;montoAsegurado_vacio
328,2026-08-01,2035,34,9,8,,201.21,,prima_vacia;montoAsegurado_vacio
329,2025-10-07,1584,78,10,10,965.87,,,comision_vacia;montoAsegurado_vacio
330,2025-07-15,2011,15,10,2,1158.76,,143147.74,comision_vacia
331,2025-06-14,2628,51,9,3,,,169845.49,prima_vacia;comision_vacia
332,2026-02-02,2249,63,5,8,,,,prima_vacia;comision_vacia;montoAsegurado_vacio
334,2025-06-16,1976,64,12,8,1572.9,255.61,,montoAsegurado_vacio
335,2025-02-09,282,43,8,6,,18.72,20333.48,prima_vacia
337,2025-07-24,3574,35,4,10,1304.27,136.32,,montoAsegurado_vacio
338,2025-06-28,1141,75,3,2,1845.6,92.8,,montoAsegurado_vacio
342,2025-04-28,1132,50,7,1,,,343602.22,prima_vacia;comision_vacia
343,,1809,74,13,6,261.29,22.99,11502.8,fechaEmision_vacia
344,2025-09-07,1385,52,2,7,,243.44,,prima_vacia;montoAsegurado_vacio
345,2025-08-11,1606,47,12,1,323.93,38.26,,montoAsegurado_vacio
346,2025-12-08,1529,61,9,3,1153.35,220.03,,montoAsegurado_vacio
347,2025-11-08,1108,65,2,5,,13.6,,prima_vacia;montoAsegurado_vacio
348,2025-07-31,1317,20,1,2,1666.25,356.84,,montoAsegurado_vacio
349,2025-09-20,2133,51,7,6,1267.27,,182975.67,comision_vacia
355,2025-12-19,2758,77,12,8,1934.73,,,comision_vacia;montoAsegurado_vacio
356,2025-10-31,729,63,14,7,,,,prima_vacia;comision_vacia;montoAsegurado_vacio
359,2025-12-29,3785,8,6,1,,,,prima_vacia;comision_vacia;montoAsegurado_vacio
360,2025-04-12,3666,59,7,9,861.49,,36651.44,comision_vacia
361,2025-05-23,702,21,15,6,1186.26,,,comision_vacia;montoAsegurado_vacio
362,2025-12-04,2822,46,2,12,,332.01,35091.58,prima_vacia
363,2026-01-11,2480,2,14,6,,148.66,,prima_vacia;montoAsegurado_vacio
366,,844,31,2,1,1992.81,300.46,97957.19,fechaEmision_vacia
368,2025-01-13,2229,12,8,1,312.7,32.01,,montoAsegurado_vacio
371,2026-01-25,602,17,11,4,,,,prima_vacia;comision_vacia;montoAsegurado_vacio
372,2026-01-02,2269,59,8,7,,,,prima_vacia;comision_vacia;montoAsegurado_vacio
373,,1870,21,1,5,1038.02,98.58,,fechaEmision_vacia;montoAsegurado_vacio
375,2025-09-19,1358,80,4,10,,63.4,,prima_vacia;montoAsegurado_vacio
376,,3527,73,6,5,110.64,14.62,,fechaEmision_vacia;montoAsegurado_vacio
377,2025-08-23,2290,36,3,1,1389.23,,,comision_vacia;montoAsegurado_vacio
378,,1868,60,12,9,1755.33,276.66,288662.01,fechaEmision_vacia
379,2025-08-22,573,2,15,5,92.25,18.56,,montoAsegurado_vacio
380,2025-01-08,1145,13,15,1,,471.37,227662.64,prima_vacia
382,2025-04-12,1204,29,13,1,,73.38,,prima_vacia;montoAsegurado_vacio
383,2025-11-24,234,34,13,4,,73.81,108825.24,prima_vacia
386,2025-06-01,117,43,4,7,,21.8,43701.61,prima_vacia
387,2025-07-14,48,63,2,4,,267.57,84325.7,prima_vacia
388,2025-12-01,1001,47,14,4,,,87870.06,prima_vacia;comision_vacia
389,2026-01-12,581,53,13,12,216.28,,,comision_vacia;montoAsegurado_vacio
390,2025-01-31,2187,14,5,10,1182.03,,,comision_vacia;montoAsegurado_vacio
391,2025-12-09,2575,43,15,11,,59.01,,prima_vacia;montoAsegurado_vacio
392,2025-04-07,1062,38,15,3,,79.4,109425.04,prima_vacia
393,2025-08-07,1157,7,1,7,66.98,10.96,,montoAsegurado_vacio
394,2025-12-09,1895,76,4,9,735.69,132.66,,montoAsegurado_vacio
396,2025-10-16,588,51,3,6,1353.44,309.33,,montoAsegurado_vacio
397,2025-05-07,2761,77,9,9,,,26510.38,prima_vacia;comision_vacia
398,2025-06-22,1255,78,12,12,1796.91,345.46,,montoAsegurado_vacio
400,2025-08-25,1674,35,12,1,,,42133.22,prima_vacia;comision_vacia
401,2025-09-01,1435,1,3,12,,,,prima_vacia;comision_vacia;montoAsegurado_vacio
402,2025-08-15,1721,63,8,5,405.99,71.04,,montoAsegurado_vacio
403,2025-08-11,1714,75,3,2,,,45428.93,prima_vacia;comision_vacia
404,2026-02-09,1407,28,14,8,,42.22,19368.57,prima_vacia
406,2025-09-22,1393,7,15,3,1384.51,194.9,,montoAsegurado_vacio
407,2025-08-30,618,23,1,9,,,234801.96,prima_vacia;comision_vacia
408,2025-10-19,1694,5,3,4,458.92,97.55,,montoAsegurado_vacio
410,,1818,66,11,9,,,98744.66,fechaEmision_vacia;prima_vacia;comision_vacia
411,,177,38,10,8,393.15,,37040.34,fechaEmision_vacia;comision_vacia
412,2026-01-28,2826,18,1,5,,373.29,219135.53,prima_vacia
416,,297,21,5,10,464.88,101.67,45376.39,fechaEmision_vacia
417,2025-10-07,60,35,8,1,620.81,90.95,,montoAsegurado_vacio
418,,206,29,11,12,360.12,86.63,,fechaEmision_vacia;montoAsegurado_vacio
420,,2211,1,15,6,1837.9,390.08,,fechaEmision_vacia;montoAsegurado_vacio
425,2025-09-17,1481,30,11,2,538.85,105.16,,montoAsegurado_vacio
426,2026-01-01,897,74,14,10,,259.69,287389.71,prima_vacia
430,2025-06-14,758,10,8,6,170.94,28.14,,montoAsegurado_vacio
432,2025-02-01,1557,62,3,5,,207.9,,prima_vacia;montoAsegurado_vacio
433,2025-04-05,82,11,2,2,,244.46,226220.87,prima_vacia
434,2025-03-20,2333,51,2,6,,17.35,,prima_vacia;montoAsegurado_vacio
435,2025-12-31,365,31,6,6,1939.31,,357795.18,comision_vacia
437,2025-11-05,1256,61,7,12,1900.51,,,comision_vacia;montoAsegurado_vacio
438,2025-08-11,1972,73,12,10,-1778.57,,,comision_vacia;montoAsegurado_vacio
440,2026-01-06,1109,54,12,3,,23.62,,prima_vacia;montoAsegurado_vacio
442,2025-03-23,3881,19,15,5,,,,prima_vacia;comision_vacia;montoAsegurado_vacio
445,2025-04-26,1383,42,5,9,,,,prima_vacia;comision_vacia;montoAsegurado_vacio
446,2025-11-07,1091,23,8,12,,11.62,,prima_vacia;montoAsegurado_vacio
447,2025-08-30,2535,70,10,11,,267.96,,prima_vacia;montoAsegurado_vacio
448,,459,77,2,3,,235.49,125583.09,fechaEmision_vacia;prima_vacia
449,2025-08-04,2759,98,3,1,1674.8,320.29,,montoAsegurado_vacio
450,2025-07-20,1094,38,5,4,1656.24,330.83,,montoAsegurado_vacio
451,2025-03-26,1809,51,12,9,516.0,42.02,,montoAsegurado_vacio
454,2025-07-13,1449,53,14,9,605.84,129.93,,montoAsegurado_vacio
455,2025-02-25,2987,64,7,10,,166.31,228125.25,prima_vacia
457,2025-10-28,2597,48,14,12,436.02,77.71,,montoAsegurado_vacio
458,2025-01-24,2233,10,4,8,,59.29,,prima_vacia;montoAsegurado_vacio
459,2025-07-09,135,12,12,11,1350.74,320.2,,montoAsegurado_vacio
461,2025-08-09,1607,49,10,5,,131.33,260544.91,prima_vacia
462,2025-09-29,1340,43,10,3,701.69,123.95,,montoAsegurado_vacio
464,2025-08-02,1630,14,1,6,,59.17,,prima_vacia;montoAsegurado_vacio
465,2025-09-25,1929,79,3,5,1945.13,332.26,,montoAsegurado_vacio
466,2025-11-15,2898,42,7,2,,54.71,14166.74,prima_vacia
467,2025-10-24,781,35,8,7,,251.38,,prima_vacia;montoAsegurado_vacio
468,2025-03-23,114,10,7,4,-236.81,48.04,,montoAsegurado_vacio
469,2025-12-14,273,38,13,1,1207.61,103.23,,montoAsegurado_vacio
472,2025-11-13,473,15,8,11,0.0,31.72,,montoAsegurado_vacio
473,2025-12-03,2945,67,1,9,1869.53,169.04,,montoAsegurado_vacio
474,2025-04-20,729,34,12,2,,86.74,,prima_vacia;montoAsegurado_vacio
475,2025-02-27,405,56,8,10,725.33,78.35,,montoAsegurado_vacio
476,2025-02-27,1774,60,13,12,-1097.18,216.55,,montoAsegurado_vacio
478,2025-11-08,2138,36,13,2,168.26,215.65,,montoAsegurado_vacio
479,2026-05-02,2034,65,5,7,931.56,138.27,,montoAsegurado_vacio
480,2025-06-14,1343,1,2,8,1810.4,,,comision_vacia;montoAsegurado_vacio
481,2025-01-06,1479,14,2,3,173.26,15.36,,montoAsegurado_vacio
482,2025-06-05,170,52,6,2,178.98,,26558.18,comision_vacia
486,2025-02-08,1980,60,13,1,-301.43,24.27,,montoAsegurado_vacio
488,2025-03-29,2538,78,15,4,469.17,,68548.42,comision_vacia
489,2025-07-12,1736,26,12,10,1609.82,179.76,,montoAsegurado_vacio
490,,983,78,2,9,,197.15,150480.65,fechaEmision_vacia;prima_vacia
491,2025-01-02,1600,21,1,2,851.47,75.68,,montoAsegurado_vacio
493,2025-05-29,604,11,2,2,,99.01,,prima_vacia;montoAsegurado_vacio
495,2025-02-04,2403,77,15,9,,167.88,,prima_vacia;montoAsegurado_vacio
497,2025-10-13,703,34,6,12,,28.27,,prima_vacia;montoAsegurado_vacio
500,2025-06-29,2382,2,2,2,1805.76,205.29,,montoAsegurado_vacio
501,2025-05-10,1703,66,4,11,310.65,73.03,,montoAsegurado_vacio
502,2026-01-26,1560,80,10,11,,213.23,269343.52,prima_vacia
503,2025-08-01,2629,61,4,8,,,44153.87,prima_vacia;comision_vacia
504,2025-06-15,2703,61,12,7,,,,prima_vacia;comision_vacia;montoAsegurado_vacio
