id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado
258,2025-09-23,1821,50,7,10,555.6,92.6,37621.89
261,2025-04-06,2956,78,2,4,843.81,106.28,165119.46
263,2025-04-16,828,38,15,7,961.19,172.58,65328.26
264,2025-04-11,2337,80,8,5,267.35,45.16,43006.11
266,2025-01-12,1750,12,5,5,469.18,53.62,82199.39
269,2025-09-13,1685,65,8,1,0.0,132.5,112445.07
277,2025-06-04,2165,16,13,12,113.44,11.06,22028.53
280,2025-06-22,1387,76,1,4,154.59,23.6,19097.08
281,2025-12-12,1387,2,14,12,1536.3,234.29,108632.52
284,2025-07-09,1163,16,3,4,1052.91,83.89,75727.87
285,2025-07-06,2457,37,9,5,1159.92,229.02,119625.01
287,2025-09-09,605,62,7,6,434.82,27.2,30848.23
288,2025-07-06,1378,72,4,5,738.72,128.9,59480.36
297,2025-12-05,1573,79,4,10,1252.38,146.52,45753.53
300,2025-09-09,1233,67,6,8,1027.81,61.97,69674.38
303,2025-08-22,2931,13,14,6,317.71,31.74,11090.61
305,2025-04-06,2007,76,12,12,142.86,161.2,8185.49
307,2025-08-31,78,24,6,10,1259.85,87.1,50836.92
308,2025-03-05,905,6,7,2,71.14,14.24,12910.64
327,2025-06-30,184,7,8,6,256.39,36.77,17389.16
333,2025-03-12,2372,29,2,8,1307.34,198.89,105131.68
336,2025-11-26,1444,54,3,10,550.34,49.47,20954.52
339,2026-01-26,2571,76,4,6,924.18,222.4,53440.43
340,2025-08-23,1514,51,1,11,230.39,56.57,21695.02
341,2025-03-25,14,23,2,4,716.28,71.72,64529.32
350,2025-06-09,1119,74,2,6,423.21,33.82,17124.02
351,2025-07-26,2186,22,15,4,615.15,97.58,115731.56
352,2025-09-02,335,32,13,3,69.55,5.42,4481.9
353,2025-01-16,1274,18,10,12,435.91,108.35,81976.35
354,2025-10-04,2871,64,8,3,196.33,27.44,15872.78
357,2025-07-15,2655,25,11,11,374.5,81.21,44517.01
358,2026-01-31,2665,30,2,9,1247.68,154.02,77789.9
364,2025-12-14,707,28,11,9,268.47,41.13,26697.38
365,2026-01-15,2794,41,15,3,1910.72,141.4,348837.15
367,2025-05-01,2182,13,9,1,524.74,70.05,62174.08
369,2025-10-21,1959,2,4,11,300.3,16.25,16152.36
370,2025-03-02,185,3,5,7,53.79,2.82,3905.87
374,2025-05-24,465,69,9,11,109.71,26.59,13623.02
381,2025-12-09,243,34,10,9,858.13,57.01,141537.21
384,2025-12-01,1158,68,2,2,1861.73,346.31,57069.12
385,2025-02-19,2090,16,3,8,766.05,50.66,127959.71
395,2025-04-07,1038,46,12,4,1225.95,71.97,191272.59
399,2025-08-13,2988,14,9,4,308.81,24.4,44128.8
405,2025-12-07,2328,47,1,8,1264.26,275.94,131575.43
409,2025-12-04,686,26,1,9,-1075.26,65.95,105494.6
413,2025-07-17,1069,25,15,5,1229.31,110.93,151597.25
414,2025-08-15,2278,72,11,12,867.96,132.06,147649.9
415,2025-07-22,2645,56,8,11,344.91,46.82,65854.06
419,2025-01-03,111,71,13,6,942.78,142.54,116621.23
421,2025-11-23,1662,44,11,4,293.77,44.98,28807.95
422,2025-08-07,181,4,8,5,1880.35,131.37,131698.52
423,2025-05-26,807,50,9,8,210.77,41.24,35549.86
424,2026-02-14,1234,1,12,6,547.19,68.36,60347.81
427,2025-05-29,2943,35,9,5,1849.84,222.39,187959.06
428,2025-06-01,1293,54,9,10,1683.76,278.4,304002.46
429,2026-01-04,1774,50,7,5,987.28,127.17,119643.51
431,2025-03-27,21,56,2,11,1414.67,173.1,38629.85
436,2025-02-04,1901,69,15,3,687.69,128.26,125649.5
439,2025-05-01,770,70,11,8,359.75,83.83,15237.57
441,2026-01-10,539,50,3,6,0.0,81.86,99567.79
443,2025-10-17,2491,60,1,3,566.75,28.78,105991.94
444,2025-12-26,2825,31,15,3,1525.16,225.41,203346.47
452,2025-04-07,2214,48,4,1,77.82,13.04,14156.41
453,2025-05-26,1649,48,9,7,285.16,23.71,39481.15
456,2025-03-20,747,73,14,7,1486.69,227.71,200312.11
460,2025-10-07,1917,69,15,4,1335.5,242.06,207368.93
463,2025-09-07,1004,39,12,7,1847.53,395.39,238392.21
470,2025-11-06,3857,93,2,11,1557.9,229.31,120949.16
471,2025-04-19,714,38,14,5,1082.72,109.83,64280.36
477,2026-02-04,65,22,3,1,1248.84,137.09,133624.56
483,2025-10-18,1785,66,9,7,1906.65,335.86,68871.39
484,2025-06-10,2805,11,4,9,1966.19,303.27,243726.68
485,2025-08-26,1799,54,15,2,1189.72,139.99,81181.0
487,2025-06-15,777,20,1,10,1838.94,325.9,250058.9
492,2025-08-01,868,52,3,9,1135.38,98.08,67086.05
494,2025-11-17,1230,49,4,9,263.84,32.56,12942.83
496,2025-01-02,251,60,6,2,559.13,137.72,76692.82
498,2025-06-07,843,7,14,11,188.47,19.55,17873.98
499,2025-06-08,2487,14,15,3,1608.01,336.33,182343.65
506,2025-06-24,1777,4,14,3,1084.94,220.79,145253.08
513,2025-06-13,907,70,6,2,1428.97,129.1,270769.71
514,2026-01-18,687,3,5,1,1046.69,81.8,95894.63
515,2025-03-15,2136,23,11,7,1808.77,450.96,326950.13
516,2026-02-16,1576,7,4,4,1971.56,389.57,279818.51
517,2025-12-07,741,3,11,10,1840.16,124.09,192886.75
519,2025-04-14,1468,15,2,1,322.43,56.38,39773.58
520,2025-04-16,1496,9,5,11,1064.04,124.78,171718.88
522,2026-01-12,1045,18,8,12,1763.56,402.61,179266.06
525,2025-10-27,25,4,5,2,1938.64,162.8,343418.5
528,2025-05-19,2872,55,1,11,533.97,70.87,31974.56
534,2025-03-24,2027,7,5,12,449.49,73.78,76206.56
536,2025-09-26,1487,45,4,7,0.0,12.18,3007.05
540,2025-11-29,2723,9,12,2,233.08,55.01,25744.38
542,2025-08-12,2720,77,5,1,1673.58,247.88,99356.05
547,2025-04-08,2749,33,12,6,943.14,204.41,186378.98
550,2025-01-01,2740,18,1,4,1856.51,357.18,221118.7
552,2025-07-27,2701,42,8,5,1686.04,369.75,212460.57
557,2025-02-23,863,14,10,9,670.02,110.59,73438.18
560,2026-01-08,2145,74,6,2,0.0,369.91,304333.91
561,2025-12-09,2867,25,1,9,244.84,21.87,15421.81
563,2025-01-29,1398,57,14,8,841.68,118.23,27662.38
565,2025-11-01,2636,22,5,10,970.69,228.85,85460.43
576,2025-04-26,3728,26,15,3,1034.92,140.98,56238.72
577,2025-08-07,2064,75,12,7,1325.78,90.78,61776.9
580,2025-12-25,1660,40,10,1,1055.36,223.72,169828.64
581,2025-04-28,390,8,12,12,240.95,31.9,38154.1
584,2026-01-04,1556,18,15,5,591.04,143.55,56121.83
585,2025-06-28,230,23,15,11,583.92,133.94,93049.78
591,2025-01-25,2782,30,8,11,816.32,82.76,103919.46
596,2025-01-04,2287,14,9,1,426.27,65.37,24692.57
604,2025-12-05,1860,9,11,12,877.47,205.89,110451.4
606,2025-09-09,2303,80,11,9,1042.34,242.2,51730.17
608,2025-09-10,505,113,13,10,1677.49,169.52,247928.91
610,2026-01-19,1252,20,8,4,1498.15,152.4,188713.37
611,2025-07-28,2585,42,5,8,1478.89,182.27,269513.62
613,2025-12-25,83,33,1,3,732.88,176.49,22423.95
614,2026-02-02,3,57,2,3,1768.63,292.06,260328.94
616,2025-03-15,1425,40,4,2,822.72,203.05,50831.11
618,2025-05-12,121,80,14,8,491.55,109.63,23521.26
619,2025-06-16,960,23,5,3,1273.06,229.64,183943.29
630,2026-02-19,2423,76,1,11,409.54,29.13,25581.69
632,2025-10-14,1080,75,15,12,1462.54,248.29,252291.54
635,2025-04-26,95,61,3,5,1792.02,440.47,214083.88
638,2025-08-12,2820,21,3,4,857.92,83.38,141656.39
641,2025-12-06,1749,60,14,10,1292.44,294.27,124029.24
643,2026-01-18,1158,19,3,6,462.9,44.07,60581.46
644,2025-07-05,1827,44,1,3,1990.49,361.62,226537.35
650,2025-09-16,2390,49,15,6,619.52,149.92,117620.78
654,2025-02-28,1871,16,10,8,352.81,41.06,18489.87
655,2025-12-15,1983,64,8,4,538.85,104.77,90386.98
657,2025-09-04,1083,51,7,12,1959.73,334.82,214701.16
660,2026-02-20,1890,50,5,12,859.64,159.62,162584.35
671,2025-01-26,2212,62,6,7,1493.07,319.17,283016.51
679,2025-04-24,2080,36,9,8,916.53,116.12,152755.89
685,2025-06-21,46,8,11,11,620.06,154.51,86260.73
686,2025-10-11,3818,24,12,3,839.28,66.76,94857.83
690,2025-04-04,1981,67,15,6,487.57,79.88,81209.64
692,2025-08-05,1815,21,4,9,819.6,96.05,77433.69
695,2025-02-28,68,37,2,6,165.57,23.74,31623.31
698,2025-11-29,1427,65,1,11,489.27,88.6,28382.47
702,2025-01-10,2298,14,4,1,498.15,87.35,36330.25
704,2025-08-09,1148,47,1,9,166.86,27.17,18523.15
705,2025-01-19,1138,23,7,2,566.86,131.31,37098.32
706,2025-05-26,1414,65,12,11,329.7,76.02,31168.43
708,2025-09-01,2745,54,1,12,1613.21,171.43,228522.87
709,2025-04-08,1157,20,6,6,715.9,48.15,39762.71
711,2025-08-13,641,61,2,3,813.02,74.07,21034.0
713,2026-01-26,1577,69,8,11,1427.45,286.22,178492.02
718,2025-09-06,3715,34,13,2,1727.5,286.7,60812.77
720,2025-08-07,2627,13,13,4,707.83,170.65,30130.25
726,2026-01-30,1507,38,4,11,216.37,34.06,34994.41
727,2025-04-21,3672,53,10,9,522.25,114.09,44237.52
731,2025-02-18,1200,7,15,9,1909.2,168.12,40865.07
733,2025-04-26,1495,77,6,2,970.09,132.36,82527.5
735,2025-02-13,2042,44,4,3,300.58,44.85,42925.38
736,2025-09-27,1903,67,10,12,1824.72,428.64,231848.32
737,2025-02-04,1058,21,12,5,276.22,29.98,45596.72
740,2025-12-07,2140,12,8,3,107.75,10.65,8320.69
741,2025-08-03,1634,8,12,8,1128.26,272.87,195554.62
744,2025-02-03,2029,37,7,5,683.27,138.19,42398.07
750,2025-10-20,628,65,2,9,570.46,111.8,51514.15
754,2025-12-19,1887,15,5,2,419.49,87.35,45902.66
755,2025-12-13,1268,20,1,10,542.63,30.9,68862.65
765,2026-02-17,559,69,5,8,988.43,242.22,155655.94
769,2025-03-15,396,51,3,5,925.09,174.43,39645.83
772,2025-06-14,1784,42,12,8,1997.85,397.22,298618.14
774,2025-06-02,918,33,14,11,202.95,45.59,16812.51
778,2025-06-07,985,14,6,1,906.43,197.27,156863.2
779,2025-11-17,164,30,13,3,1416.15,105.26,145214.83
780,2025-10-31,1718,37,6,11,1034.9,238.56,54231.24
781,2025-11-20,521,35,12,11,1377.36,280.27,258994.33
783,2026-02-14,2061,64,9,1,1305.84,189.76,83446.95
784,2025-09-29,186,42,4,5,1720.11,206.62,208688.06
787,2025-01-24,2710,39,14,5,1580.94,230.02,168587.19
806,2025-04-18,259,11,1,2,1452.59,221.13,125631.8
810,2025-06-24,2223,6,14,5,1665.91,111.1,282220.24
811,2025-12-29,461,74,6,10,1935.66,442.98,359607.34
812,2025-07-11,1791,54,1,6,550.5,82.84,99294.36
813,2025-07-18,2420,34,11,12,1399.88,186.19,55621.79
814,2026-11-02,475,39,9,9,1663.31,115.48,49887.65
818,2025-01-23,1758,69,2,5,478.93,58.42,50303.65
819,2025-03-04,1881,11,6,1,107.13,15.95,2410.69
820,2025-08-31,2268,33,3,9,603.7,74.58,61685.84
822,2026-01-17,1490,80,8,9,482.99,64.99,81710.06
833,2025-06-26,1290,29,3,1,772.38,60.25,90000.78
849,2026-02-13,1113,69,4,4,547.21,125.87,42297.95
854,2025-08-11,553,5,9,5,1658.58,388.63,164689.7
856,2025-07-25,1862,23,10,3,1166.48,71.12,120591.06
859,2025-09-09,3704,11,12,5,1673.24,277.63,157075.98
860,2025-07-19,2608,5,10,7,197.16,33.71,5230.01
862,2026-01-01,535,44,11,11,1122.35,169.8,202836.98
863,2026-02-01,1638,73,15,2,139.41,19.45,18526.99
867,2026-01-26,936,7,13,2,828.76,197.48,125255.62
868,2025-11-26,1177,30,4,12,1951.77,329.12,147621.84
871,2025-09-15,519,55,6,9,729.87,124.73,141981.55
874,2025-06-15,1843,70,12,11,1836.94,406.66,241535.48
875,2025-04-04,1612,40,11,3,234.59,42.7,8016.21
878,2025-11-09,2718,43,3,12,1942.52,171.26,244767.44
879,2025-02-25,2781,76,9,11,487.84,73.85,41572.74
882,2025-07-14,1478,7,3,2,1615.12,339.75,260779.28
889,2025-05-21,1138,92,7,7,1904.97,124.65,178062.83
891,2026-01-07,571,76,11,8,985.4,108.56,155311.42
892,2025-11-10,1217,55,13,12,412.35,46.23,44262.23
893,2025-06-14,835,38,3,9,1213.0,291.35,179137.64
898,2025-02-03,1329,33,8,6,1201.3,145.34,49035.77
899,2025-07-15,1828,67,2,5,84.64,6.93,9839.21
900,2025-08-04,1336,8,10,5,1356.71,113.33,225001.5
901,2025-01-12,2504,9,6,2,1049.68,68.14,66587.08
903,2025-11-08,2191,77,1,1,1266.08,276.99,122393.69
905,2025-10-11,630,36,11,1,547.14,98.22,58661.58
906,2025-04-12,343,47,2,12,1583.43,353.06,57993.95
915,2025-08-24,1529,3,2,2,771.68,169.79,103763.11
917,2025-10-04,2390,71,12,2,1606.28,306.62,221424.14
918,2026-02-10,1594,35,13,5,697.74,57.01,55110.68
928,2025-03-13,2024,41,9,9,1125.24,252.7,130472.96
929,2025-03-27,1624,12,9,10,250.7,433.51,15178.48
932,2025-04-01,1778,27,12,11,1780.47,213.95,112838.98
935,2025-12-05,2120,47,8,5,441.19,488.91,55522.84
938,2026-01-16,65,77,2,8,1542.99,87.13,299998.04
940,2025-11-22,2286,64,13,3,69.81,15.89,4626.76
941,2025-07-09,1543,38,2,5,618.37,48.56,119647.32
942,2025-06-01,3718,75,6,6,79.88,12.94,2329.79
945,2025-05-12,2697,11,4,5,1498.86,209.87,80287.24
947,2026-01-25,2225,21,13,10,875.41,159.49,73281.41
952,2025-05-29,77,14,12,7,1292.83,184.6,119370.4
955,2025-04-03,1676,30,3,12,977.94,81.64,66113.44
959,2025-03-02,446,37,8,7,1854.14,155.96,185677.58
963,2025-04-22,1778,26,2,5,1149.75,216.05,129841.6
966,2025-12-04,2375,24,6,12,1032.51,103.06,193961.45
967,2026-01-24,2135,59,7,1,0.0,52.22,44836.69
969,2026-02-10,753,58,11,9,237.99,32.16,19683.43
971,2025-02-03,2782,74,5,7,1007.87,250.95,70400.82
976,2025-08-14,1195,40,9,10,1812.75,159.56,238384.37
980,2025-05-01,524,80,5,1,374.61,54.01,32248.51
981,2025-09-01,1235,67,7,4,1287.47,207.35,251131.1
985,2025-07-13,2974,7,9,12,1573.72,373.7,261731.15
989,2025-11-28,2790,48,2,1,605.4,58.86,65033.73
990,2025-04-11,1569,62,4,8,205.15,27.56,15683.59
991,2025-03-25,2205,80,15,12,591.77,64.87,71466.4
997,2025-12-21,1248,51,14,4,229.38,56.54,36697.87
998,2025-04-30,928,72,7,4,1592.68,117.66,34820.96
1003,2025-02-17,2670,23,8,8,1637.64,320.4,280930.95
1004,2025-02-17,2259,35,5,6,923.11,223.98,32415.33
1005,2025-02-03,57,28,2,9,648.49,114.95,122445.37
1006,2025-07-09,2872,47,5,7,1508.15,113.86,209084.19
1008,2025-04-03,1405,56,3,9,-1353.29,182.11,209259.39
1009,2025-02-07,1003,33,13,1,953.24,99.75,34200.13
1014,2025-09-16,1236,78,8,6,799.9,95.2,149053.6
1016,2026-01-07,2088,32,10,8,1060.94,55.62,184294.87
1022,2025-04-04,1815,44,7,6,313.6,59.65,7679.78
1023,2025-11-22,2150,29,3,2,694.53,172.13,130767.04
1024,2025-09-10,1548,4,13,5,339.32,75.15,21148.26
1026,2025-08-24,660,78,1,9,1338.37,192.97,221890.05
1030,2025-07-21,1920,45,6,5,921.01,83.32,135943.27
1032,2026-02-05,1058,71,15,11,1978.63,104.08,356202.51
1035,2025-08-10,1123,54,12,5,246.66,35.65,15377.1
1036,2025-03-30,1301,59,8,7,1099.82,238.57,148711.35
1037,2025-04-25,3814,21,11,11,535.85,78.28,90648.67
1038,2025-11-26,400,80,10,7,1470.37,259.13,88295.75
1044,2025-05-16,2156,20,7,3,904.25,209.02,54421.46
1046,2025-09-22,1357,15,7,10,397.06,57.71,13097.84
1049,2026-02-16,2217,69,2,7,1751.67,319.98,312484.69
1053,2025-10-17,2602,6,14,7,559.78,38.84,73437.24
1061,2025-02-14,1114,75,10,11,1528.09,376.13,271303.82
1065,2025-12-03,2527,17,6,6,1989.19,459.36,311684.97
1066,2025-06-23,2845,72,2,3,1571.77,198.1,74536.71
1068,2025-09-06,1184,59,7,4,1907.66,460.53,362277.16
1070,2025-06-26,1871,32,4,7,1985.68,406.92,308104.48
1075,2025-05-28,314,79,11,10,947.52,229.64,97749.26
1077,2026-02-02,1966,50,12,9,1089.77,100.75,120981.8
1081,2025-10-25,1258,14,3,12,510.09,101.36,34226.55
1083,2025-12-25,225,20,4,2,956.11,169.03,183791.27
1086,2025-11-29,811,49,15,9,763.42,78.36,117566.24
1091,2025-06-05,1032,59,15,6,101.14,14.26,7750.81
1095,2025-05-28,983,3,3,4,1398.13,286.34,41986.72
1098,2025-02-05,1127,1,9,4,50.52,7.22,6443.05
1099,2025-08-29,2966,21,7,2,1005.27,237.75,161375.41
1101,2026-07-02,339,26,9,6,394.37,32.6,31870.32
1105,2025-10-15,1976,47,10,6,165.43,31.41,8822.35
1110,2025-04-13,1738,35,3,5,1692.66,194.63,94363.91
1116,2025-12-24,788,10,12,5,1839.16,155.59,46968.57
1124,2025-08-18,1253,10,6,12,1202.76,277.56,158850.96
1128,2025-10-15,739,32,13,7,801.42,172.89,71909.43
1130,2025-04-12,2684,62,7,8,471.89,62.48,75226.19
1133,2026-01-19,1180,9,14,3,559.44,74.72,50707.0
1134,2025-10-25,482,65,2,12,1801.6,201.96,320551.35
1135,2025-10-16,2849,12,2,8,899.13,104.81,21752.03
1145,2025-07-01,650,37,15,10,373.58,55.08,70468.42
1151,2025-02-06,735,78,9,3,1225.65,219.54,79991.65
1154,2025-04-22,1594,9,5,3,1945.59,280.85,68516.48
1156,2025-01-31,1585,9,5,7,107.49,15.96,7081.97
1157,2025-12-13,2093,26,15,11,693.6,117.98,128834.98
1159,2025-02-07,2642,56,6,3,1161.64,270.22,101941.77
1164,2025-06-04,2863,55,9,9,801.21,156.08,106569.46
1165,2025-03-26,1259,57,13,8,252.02,30.29,29984.51
1166,2025-04-19,1549,61,14,2,507.37,78.9,55376.53
1172,2025-02-19,3614,39,6,4,1129.4,100.1,203458.76
1183,2025-10-21,1240,70,11,4,1583.04,87.09,194086.75
1184,2025-01-10,2557,50,5,4,1236.51,151.82,212721.14
1186,2026-02-14,1231,77,8,1,566.22,59.6,101367.5
1190,2025-02-09,98,28,8,8,451.99,30.06,13249.5
1200,2025-10-21,2085,11,6,6,705.5,113.14,89409.43
1205,2025-08-07,218,40,10,8,829.03,196.49,87169.07
1208,2025-03-07,2866,48,15,10,1463.7,142.12,218372.94
1209,2026-01-14,2546,61,5,11,649.42,146.46,81046.75
1213,2026-02-01,2085,78,5,3,588.55,139.74,58549.45
1215,2025-08-25,963,32,11,11,1298.17,231.23,219800.33
1216,2025-06-25,2712,57,10,8,1291.71,72.31,132853.4
1217,2025-01-11,292,63,4,2,1563.64,160.18,73871.74
1219,2025-11-29,1653,40,15,3,1530.63,305.78,90130.75
1221,2025-04-29,1799,22,6,1,157.14,15.36,7690.92
1223,2025-05-09,2378,34,2,2,1815.67,100.68,47179.14
1226,2025-03-15,2300,60,5,10,1865.79,316.23,148974.56
1230,2025-11-04,2698,76,10,8,158.6,11.76,28404.16
1242,2025-02-08,2723,65,1,10,1608.88,343.93,41100.71
1243,2026-02-03,1238,43,14,3,412.07,50.22,27451.49
1249,2025-07-27,252,24,3,4,787.57,194.28,96853.9
1250,2025-03-21,1216,78,2,7,352.9,31.59,38657.11
1251,2026-02-19,2936,76,14,8,424.01,64.72,59474.84
1254,2026-01-24,1427,34,8,11,215.97,26.28,14445.01
1257,2025-02-24,1239,42,4,12,865.55,60.56,51117.01
1258,2025-08-08,45,41,5,4,491.71,91.65,52680.81
1261,2025-09-09,1059,2,15,2,1234.69,97.25,105506.71
1268,2025-12-22,2572,36,2,8,1181.76,224.73,187157.21
1269,2025-08-06,2959,5,10,7,952.09,121.75,72388.09
1271,2025-02-09,2733,1,10,1,820.7,148.64,129653.88
1276,2026-02-10,218,72,3,5,223.93,13.04,21497.96
1277,2025-11-24,2319,32,14,5,1858.16,137.04,199489.12
1281,2025-12-26,1607,21,5,1,1343.95,129.43,196794.89
1282,2025-11-07,182,77,11,1,1327.05,231.46,113779.99
1284,2025-09-24,2523,119,12,3,509.17,82.21,60393.44
1285,2025-10-09,1270,63,10,3,57.63,6.01,4953.81
1288,2025-07-02,469,20,7,4,953.45,170.4,103827.55
1290,2025-10-15,726,80,6,7,1876.63,243.12,59128.32
1293,2025-05-24,1381,9,2,6,1192.5,60.88,156126.99
1299,2025-03-10,2254,61,11,11,677.3,51.44,14401.14
1312,2025-02-27,141,38,3,11,0.0,433.88,220877.81
1313,2025-12-28,510,70,13,11,1666.88,411.56,288925.1
1315,2025-09-07,2525,54,9,6,1998.61,261.44,69231.79
1316,2025-06-01,1873,49,7,5,1452.12,257.36,203597.86
1323,2025-05-21,402,24,5,8,318.02,30.5,55873.33
1324,2025-12-12,213,55,4,3,507.74,118.51,65368.28
1327,2025-10-15,492,64,14,12,-1142.56,122.32,183272.35
1331,2025-01-26,601,39,14,2,1159.36,174.63,193327.62
1332,2025-10-20,2388,10,6,3,1641.43,259.49,58019.33
1333,2025-10-01,198,7,6,5,628.68,34.05,28860.72
1335,2026-01-17,2840,70,5,6,1030.69,230.0,62703.97
1336,2025-03-10,1353,15,2,3,1211.72,186.92,31058.11
1337,2025-01-19,1572,59,11,5,1136.14,268.74,161068.31
1342,2025-08-08,191,16,6,7,1699.45,164.69,304445.4
1344,2026-01-19,1513,46,9,11,1897.39,180.03,127039.59
1352,2026-02-14,2860,30,8,4,1943.64,138.22,184465.0
1354,2025-07-13,385,1,9,6,1583.56,335.96,43362.05
1357,2026-01-16,622,47,2,10,793.21,162.29,146092.38
1364,2025-06-14,2614,65,14,5,1479.17,342.96,121219.51
1365,2025-03-27,1908,65,12,10,463.2,101.19,52713.28
1367,2025-11-26,411,39,4,7,860.65,173.3,155474.19
1368,2026-09-02,1364,32,4,6,805.81,123.24,39600.77
1369,2025-11-06,2599,20,11,1,1947.73,2417.69,333898.58
1371,2025-08-10,301,15,6,9,952.16,185.18,88457.54
1372,2026-01-16,2481,18,2,6,175.49,31.78,22576.41
1374,2025-03-26,1613,57,7,12,491.34,87.59,17584.69
1380,2026-10-01,35,5,12,11,1276.23,96.44,105102.21
1381,2025-09-07,2737,28,2,3,1643.42,134.14,139998.18
1383,2025-10-11,2030,71,8,2,942.34,60.02,73746.03
1390,2025-12-15,1317,35,5,4,107.83,15.4,7829.02
1391,2026-01-19,1419,13,9,4,239.33,23.67,37430.8
1392,2026-01-12,1447,60,12,9,1636.58,214.02,49161.91
1400,2025-08-05,2701,48,2,2,1729.67,390.26,134374.35
