id_siniestro,id_poliza,fecha_siniestro,monto_siniestro,estado
123,8567,2025-09-22,5749.7,Rechazado
125,17509,2025-11-09,1154.08,Cerrado
126,13007,2025-10-17,13629.62,Rechazado
127,424,2025-07-29,1595.62,Cerrado
129,8836,2025-02-03,1652.79,Abierto
135,24992,2025-02-08,302.32,Abierto
136,9670,2025-05-31,6040.15,Cerrado
137,23959,2025-05-26,13295.74,Cerrado
138,22384,2025-11-10,9051.84,Abierto
139,21305,2025-12-12,12134.64,Rechazado
140,21427,2025-10-11,12522.96,Abierto
141,25512,2025-12-26,8366.08,Abierto
144,7956,2025-01-01,8822.7,Abierto
145,5744,2025-07-24,3902.65,Abierto
146,5630,2025-02-16,6370.38,Cerrado
147,3192,2026-02-21,9549.21,Cerrado
149,9146,2025-11-14,2981.78,Abierto
150,14981,2025-01-31,13415.37,Rechazado
151,2464,2025-02-14,3627.56,Cerrado
152,22723,2025-09-09,9937.98,Abierto
156,16853,2025-09-03,1390.48,Abierto
157,22187,2025-03-04,4984.64,Cerrado
158,8637,2025-08-02,12772.25,Rechazado
159,2123,2025-12-11,6450.16,Cerrado
160,13528,2025-03-16,3582.61,Abierto
162,17558,2025-12-16,2904.94,Abierto
164,3953,2025-06-27,14622.5,Cerrado
165,3478,2025-03-20,5989.33,Cerrado
167,19661,2025-10-29,5398.38,Cerrado
168,6501,2025-10-20,3552.32,Cerrado
169,23178,2025-04-12,4944.75,Cerrado
171,6401,2025-11-02,13258.53,Rechazado
172,10449,2025-03-29,3349.56,Abierto
173,11295,2025-04-24,12085.03,Rechazado
174,25761,2025-12-10,9433.77,Rechazado
176,14992,2025-03-10,7840.46,Abierto
178,22497,2025-09-24,12188.69,Cerrado
181,3779,2025-05-19,2915.04,Abierto
182,6051,2025-07-15,4083.6,Abierto
184,13385,2025-08-07,5142.95,Rechazado
185,23960,2025-03-25,2485.0,Cerrado
187,17116,2026-01-25,8263.06,Rechazado
191,23374,2025-06-13,14690.5,Cerrado
192,24819,2025-07-12,764.29,Abierto
194,13685,2026-02-08,8942.15,Abierto
195,3021,2026-02-22,1043.99,Rechazado
196,4434,2025-11-03,1158.74,Cerrado
198,3833,2025-08-18,9016.27,Rechazado
200,8648,2025-03-24,6486.31,Cerrado
203,21133,2025-07-10,4564.31,Rechazado
205,15065,2026-09-02,14726.41,Cerrado
206,5583,2025-04-03,11554.34,Cerrado
207,10666,2025-03-09,10303.63,Abierto
208,5006,2025-05-24,4504.93,Cerrado
210,14034,2025-08-20,12036.08,Cerrado
211,18427,2025-12-18,6967.73,Cerrado
213,1279,2025-07-02,13118.01,Rechazado
214,16890,2026-01-25,2780.04,Abierto
215,13337,2025-02-08,14527.75,Abierto
217,14431,2025-09-27,2510.93,Abierto
218,5896,2025-10-27,10531.67,Cerrado
220,2535,2025-12-19,5001.06,Abierto
221,2986,2025-02-12,9139.78,Cerrado
222,13632,2025-05-06,14814.18,Cerrado
224,19260,2026-02-14,5466.39,Abierto
226,12950,2025-08-05,2683.64,Cerrado
227,2933,2025-10-17,5919.45,Cerrado
229,16087,2025-06-11,5957.36,Cerrado
230,19159,2025-09-01,1517.87,Cerrado
231,16670,2025-09-17,12582.5,Rechazado
232,3014,2025-03-07,9726.96,Cerrado
233,11033,2025-04-03,9170.56,Abierto
235,23798,2025-07-10,10657.43,Abierto
241,20874,2025-01-29,5212.81,Cerrado
242,10437,2025-03-06,14596.52,Rechazado
245,5447,2025-08-20,14464.74,Abierto
246,11329,2025-01-10,11681.88,Abierto
248,11871,2026-01-25,804.82,Cerrado
252,2267,2025-01-11,12762.64,Abierto
253,1765,2026-01-31,10785.64,Abierto
254,22116,2025-03-14,5059.14,Cerrado
257,15563,2025-04-27,7905.89,Cerrado
258,7251,2025-09-04,359.56,Abierto
259,19809,2025-09-21,10058.57,Cerrado
261,9851,2025-12-31,1092.58,Rechazado
263,6744,2025-05-06,8228.53,Abierto
265,217,2025-12-11,3763.55,Abierto
266,18359,2025-07-22,11326.78,Rechazado
268,18702,2025-11-03,5803.93,Abierto
270,21104,2025-08-28,8284.25,Abierto
272,11306,2025-10-12,6748.93,Abierto
273,14467,2025-03-20,2855.89,Abierto
275,19524,2025-09-13,10334.68,Abierto
276,24025,2025-07-21,12873.15,Cerrado
279,8178,2025-05-30,10418.51,Rechazado
281,22881,2025-11-14,197.86,Cerrado
282,11387,2025-07-02,5370.01,Cerrado
284,4685,2025-01-05,11406.08,Abierto
285,17418,2025-04-10,5091.35,Abierto
286,14149,2025-05-29,7311.29,Abierto
287,17519,2025-11-22,2869.86,Rechazado
288,19817,2025-01-22,2321.09,Abierto
289,2525,2025-01-20,6583.18,Cerrado
290,23857,2025-07-23,3302.24,Cerrado
292,15112,2025-01-10,2486.04,Cerrado
294,21932,2026-01-02,9926.07,Abierto
295,11353,2025-06-11,566.0,Abierto
297,7821,2025-12-09,3566.43,Cerrado
299,11447,2026-08-02,14867.64,Cerrado
300,13999,2025-02-23,331.95,Abierto
301,19710,2025-08-08,1424.02,Cerrado
304,2036,2025-02-21,8381.86,Cerrado
309,22223,2025-04-03,11939.28,Cerrado
311,16425,2025-02-05,10081.65,Cerrado
312,15669,2026-05-02,2986.38,Abierto
315,6480,2025-10-28,13359.79,Rechazado
318,18504,2025-12-17,14001.5,Cerrado
320,17508,2025-10-31,8640.45,Abierto
321,15003,2025-10-22,4359.69,Abierto
322,19178,2025-12-08,10770.63,Abierto
324,4083,2025-03-18,10678.85,Cerrado
327,8526,2025-05-17,13905.74,Rechazado
328,19746,2025-03-11,6693.43,Abierto
329,23344,2025-01-08,10541.76,Abierto
332,20787,2025-05-17,11131.22,Abierto
333,21160,2025-11-26,6116.37,Abierto
334,12046,2025-04-03,2537.12,Abierto
335,12406,2025-05-04,319.52,Cerrado
339,8768,2025-01-25,2863.49,Abierto
340,4853,2025-11-16,8016.06,Abierto
343,25543,2025-07-21,4564.3,Cerrado
344,9611,2025-02-22,2147.03,Cerrado
345,5702,2025-08-30,10398.23,Abierto
346,16953,2026-02-03,14629.39,Cerrado
349,18539,2025-11-27,-4684.76,Cerrado
350,7943,2025-11-05,10787.07,Cerrado
352,5401,2025-09-11,14262.99,Rechazado
354,23874,2025-04-20,12544.63,Rechazado
356,21703,2025-01-08,3463.49,Abierto
359,12112,2025-10-26,2073.55,Abierto
360,24056,2025-09-20,7083.76,Rechazado
361,16268,2025-07-17,13927.17,Abierto
363,21311,2026-04-02,9959.61,Abierto
365,18228,2025-11-17,13973.16,Cerrado
366,5844,2025-02-02,11212.65,Cerrado
367,942,2025-05-07,1374.6,Abierto
368,14823,2025-11-10,1629.44,Abierto
369,15818,2025-02-14,434.28,Abierto
370,20114,2026-02-14,5559.03,Abierto
371,20612,2025-12-02,5087.67,Cerrado
372,941,2025-01-31,10846.29,Abierto
373,16241,2026-02-16,2754.6,Cerrado
375,3784,2025-02-21,6278.59,Cerrado
377,19938,2026-01-27,-3081.44,Abierto
378,4586,2025-09-01,2051.08,Abierto
379,19394,2025-04-11,4337.43,Cerrado
384,16998,2025-09-17,8268.6,Cerrado
389,21668,2026-01-31,11042.25,Abierto
390,840,2026-02-23,10747.46,Abierto
392,20920,2025-08-04,1035.65,Cerrado
395,990,2025-11-06,924.16,Abierto
396,986,2025-10-23,8896.66,Abierto
397,22624,2025-06-14,6819.88,Cerrado
398,10478,2025-08-24,7566.63,Abierto
399,1386,2025-04-06,1160.69,Abierto
403,9469,2026-01-30,3664.72,Cerrado
405,17081,2025-08-02,13445.95,Abierto
406,13593,2025-05-31,1225.41,Cerrado
409,4598,2025-08-10,14385.55,Abierto
412,1661,2025-01-05,12937.82,Abierto
413,15474,2025-01-14,11665.1,Cerrado
416,1066,2025-11-06,2268.69,Rechazado
417,24940,2025-06-20,11978.74,Abierto
419,11189,2025-07-19,6286.41,Cerrado
420,15208,2025-06-17,14567.87,Rechazado
422,9973,2025-12-28,5901.69,Abierto
424,11599,2025-06-21,2656.34,Cerrado
425,6477,2025-10-23,11168.31,Abierto
426,24821,2025-06-18,9786.35,Cerrado
430,9420,2025-03-07,14797.54,Rechazado
432,3991,2026-02-07,12934.03,Cerrado
433,13660,2025-07-14,4257.18,Rechazado
434,9923,2025-03-19,10300.58,Cerrado
437,23431,2025-08-14,9923.03,Rechazado
440,16397,2025-10-16,8359.38,Rechazado
441,22684,2025-03-12,10554.36,Rechazado
442,25876,2025-03-10,147.22,Rechazado
448,13756,2025-11-18,8492.99,Cerrado
449,10005,2025-05-02,9876.19,Abierto
450,18661,2025-05-11,2919.02,Rechazado
451,3111,2025-03-30,12498.73,Cerrado
462,1370,2025-02-25,2238.16,Rechazado
463,1315,2025-05-23,9403.53,Cerrado
464,7665,2025-08-23,6095.66,Abierto
465,4729,2025-10-15,13763.87,Cerrado
466,19556,2025-05-22,929.56,Cerrado
467,12477,2025-04-29,12448.85,Cerrado
468,7145,2025-06-29,9748.24,Rechazado
470,7885,2025-12-18,9856.68,Cerrado
471,2155,2025-12-01,5220.04,Abierto
472,4686,2025-11-19,7740.48,Abierto
473,6110,2025-02-02,14439.69,Rechazado
477,23464,2026-01-02,4561.33,Rechazado
478,15010,2026-01-27,11687.78,Abierto
482,18388,2025-03-11,2624.1,Cerrado
484,10177,2025-09-21,9795.3,Rechazado
486,16519,2025-10-01,4527.06,Cerrado
487,21900,2025-02-11,14449.32,Abierto
489,6169,2025-06-07,10359.49,Cerrado
491,10798,2025-04-13,11866.01,Cerrado
492,5514,2025-05-07,13335.48,Cerrado
494,4271,2025-12-09,11207.5,Cerrado
496,9321,2025-08-23,597.85,Abierto
499,4303,2026-03-02,6686.39,Abierto
500,24173,2025-03-07,6633.52,Rechazado
501,1935,2025-03-01,9456.55,Abierto
502,8758,2026-02-01,7272.53,Abierto
503,13990,2025-07-15,4634.32,Cerrado
504,12911,2026-02-07,12735.57,Abierto
505,9535,2025-03-04,13921.33,Rechazado
512,25808,2025-04-28,1956.2,Abierto
515,7931,2025-04-19,7142.51,Abierto
519,2775,2025-09-20,11906.59,Abierto
520,17065,2026-01-19,8464.37,Abierto
521,2027,2025-08-21,2008.92,Abierto
522,8459,2025-09-24,5956.22,Abierto
523,2414,2025-10-08,13565.6,Abierto
525,9683,2025-01-06,4540.67,Cerrado
526,6685,2026-01-27,965.71,Cerrado
527,17205,2025-06-03,12224.81,Cerrado
529,1551,2026-02-24,12584.02,Cerrado
530,19258,2025-10-10,14448.22,Abierto
532,13554,2025-02-17,10457.23,Rechazado
533,1400,2026-02-17,778.9,Abierto
534,13893,2025-01-07,2203.47,Abierto
535,17558,2025-11-05,775.73,Cerrado
536,1687,2025-11-28,8216.35,Abierto
537,10763,2025-01-29,6960.69,Cerrado
538,16568,2026-02-21,800.55,Cerrado
539,15629,2025-02-04,629.03,Abierto
540,24874,2025-10-25,6239.3,Rechazado
544,13123,2025-06-03,8419.73,Abierto
545,14630,2025-07-01,965.14,Cerrado
546,2269,2025-03-13,6320.76,Cerrado
547,18971,2025-06-12,13821.43,Abierto
549,10771,2026-01-19,-9024.61,Abierto
550,25667,2025-11-08,3598.0,Abierto
551,21438,2025-05-07,5836.89,Abierto
552,2165,2025-02-11,11024.33,Cerrado
553,21888,2026-01-05,3112.17,Cerrado
555,17858,2025-01-16,13960.18,Cerrado
557,6868,2025-06-30,5325.91,Cerrado
558,21780,2025-05-10,10753.61,Cerrado
560,3151,2025-02-28,-1744.2,Abierto
561,8177,2025-11-05,3376.64,Cerrado
562,15715,2026-01-28,4479.51,Cerrado
563,18040,2025-03-08,7778.11,Rechazado
564,21307,2025-12-06,11816.47,Rechazado
566,7229,2025-10-09,8102.59,Rechazado
570,25508,2025-05-21,9919.76,Cerrado
571,354,2025-02-12,11624.3,Rechazado
572,8028,2026-06-02,1046.73,Cerrado
573,5994,2026-01-25,8064.22,Cerrado
575,17032,2025-09-23,6006.23,Cerrado
576,20005,2025-05-29,3660.61,Abierto
577,9416,2025-07-16,7281.78,Abierto
578,5441,2025-05-05,6542.3,Cerrado
579,6238,2025-06-25,-676.22,Rechazado
580,21031,2025-08-22,14726.12,Abierto
582,11973,2025-11-27,681.75,Abierto
583,15892,2025-01-31,9323.33,Rechazado
585,2185,2025-08-02,14347.09,Cerrado
586,5064,2025-01-01,3427.67,Cerrado
588,9780,2025-01-20,12340.44,Abierto
589,23761,2025-04-02,1722.65,Cerrado
590,1390,2025-11-22,5100.16,Cerrado
591,24753,2025-12-29,9243.95,Abierto
594,24598,2025-09-18,2947.86,Rechazado
596,20730,2025-01-21,-13047.91,Abierto
598,15220,2025-04-17,263.87,Rechazado
599,20491,2025-01-16,567.78,Cerrado
603,17985,2025-07-24,14180.71,Abierto
608,24323,2025-04-09,5670.57,Abierto
609,13678,2025-03-23,5395.55,Abierto
610,22850,2025-06-10,11563.14,Abierto
613,22432,2025-08-03,11453.7,Abierto
614,9264,2025-09-09,1692.12,Abierto
615,11298,2025-11-14,9282.91,Rechazado
616,6056,2025-12-08,5153.3,Abierto
619,3397,2025-12-03,10501.36,Abierto
620,17258,2025-10-14,2924.44,Cerrado
624,11022,2025-06-30,13436.62,Cerrado
626,22538,2025-08-05,4677.56,Abierto
627,471,2025-09-01,6150.14,Rechazado
631,3214,2025-07-24,14084.12,Rechazado
633,5243,2025-10-06,1215.3,Rechazado
635,13335,2026-02-20,2689.49,Cerrado
637,22494,2025-01-05,8852.96,Abierto
638,19539,2025-12-12,10177.49,Abierto
640,13475,2025-07-25,12933.19,Abierto
641,21496,2025-03-15,8941.22,Abierto
642,6639,2026-01-27,6072.88,Abierto
643,4604,2026-02-12,13596.15,Cerrado
645,11915,2025-04-27,8814.08,Cerrado
646,4770,2025-02-15,5803.73,Abierto
648,4252,2025-07-13,7226.64,Abierto
649,12061,2026-02-03,8161.32,Abierto
650,24671,2025-09-05,6124.17,Rechazado
655,14468,2025-06-25,4379.27,Abierto
657,23993,2026-01-18,12774.15,Cerrado
658,9973,2026-02-20,7195.36,Rechazado
659,8391,2025-01-24,8128.14,Cerrado
660,24254,2025-06-08,4004.38,Cerrado
665,21165,2025-12-11,9060.55,Cerrado
667,22850,2025-09-06,14333.09,Rechazado
669,17465,2025-10-24,1905.81,Abierto
670,25645,2025-07-26,5730.79,Abierto
673,12793,2025-04-27,7026.08,Cerrado
674,9099,2025-10-27,5490.56,Abierto
677,19888,2026-01-30,8543.66,Abierto
678,24681,2025-05-01,1097.13,Rechazado
680,7570,2025-12-28,12621.97,Cerrado
682,23566,2025-07-26,13620.41,Rechazado
683,23539,2025-10-22,10505.35,Cerrado
684,13740,2025-07-24,13370.29,Cerrado
685,8447,2025-07-16,5431.73,Cerrado
689,10280,2025-01-23,10161.02,Cerrado
690,679,2025-06-23,14161.93,Abierto
692,7865,2025-05-17,7245.23,Abierto
693,239,2026-02-11,2587.5,Cerrado
694,16051,2025-02-23,2151.57,Rechazado
697,8619,2025-10-10,11461.41,Abierto
699,24920,2025-01-22,2235.03,Rechazado
702,2873,2025-06-14,5179.61,Cerrado
705,13150,2025-12-11,11601.83,Rechazado
706,2757,2025-08-25,13278.87,Cerrado
707,24991,2025-11-27,7549.29,Abierto
712,24680,2026-01-07,13399.7,Cerrado
713,20970,2025-07-21,2303.55,Cerrado
714,5994,2025-04-26,10205.69,Cerrado
715,23754,2025-12-18,10141.18,Abierto
718,7795,2026-02-22,12169.4,Abierto
719,15868,2025-12-25,1394.24,Cerrado
720,24674,2026-02-06,1668.36,Abierto
721,21605,2025-10-25,10947.61,Cerrado
722,17682,2025-02-16,10999.55,Abierto
723,24857,2025-01-15,508.97,Cerrado
724,23742,2025-02-24,8822.98,Cerrado
727,25607,2026-01-14,9084.17,Abierto
729,4497,2025-11-14,336.98,Abierto
731,22473,2025-12-11,3126.48,Cerrado
732,20771,2025-06-18,3214.48,Abierto
733,16099,2025-10-08,12090.96,Abierto
736,1668,2025-08-27,1066.12,Cerrado
737,8626,2025-11-23,8378.93,Cerrado
739,25838,2025-09-10,6691.62,Cerrado
744,8360,2026-02-03,2020.77,Abierto
745,22996,2025-11-20,1381.36,Cerrado
747,2468,2025-01-07,10010.05,Rechazado
748,20797,2025-01-14,5210.91,Abierto
749,14183,2026-01-06,8218.95,Cerrado
750,7697,2025-10-08,5380.56,Abierto
753,1456,2025-10-10,3016.99,Cerrado
755,11416,2025-10-01,4159.67,Abierto
757,19194,2025-03-24,2954.35,Cerrado
761,97,2025-08-03,12403.25,Rechazado
764,9791,2025-10-15,5691.21,Cerrado
767,6334,2026-02-04,12486.42,Abierto
768,17775,2025-03-18,6684.29,Cerrado
769,14602,2025-11-17,3895.18,Abierto
770,13566,2025-09-24,9355.26,Abierto
772,12625,2025-10-22,11637.18,Cerrado
774,12939,2025-09-27,11202.95,Cerrado
775,13123,2025-04-07,3021.45,Rechazado
776,21701,2025-03-01,14772.14,Rechazado
780,11745,2026-02-04,9907.16,Abierto
781,3134,2025-11-21,11122.43,Cerrado
782,6674,2025-03-09,4364.59,Abierto
787,15672,2025-05-24,3901.09,Cerrado
789,24449,2025-02-04,12583.0,Cerrado
794,6939,2025-11-16,3297.63,Rechazado
795,18424,2025-03-15,7565.56,Cerrado
796,16905,2025-01-06,13179.02,Abierto
797,17041,2025-01-30,11728.06,Cerrado
798,9464,2025-11-07,-9622.54,Cerrado
799,11920,2025-05-21,8440.96,Abierto
800,1975,2025-12-14,8292.32,Abierto
801,10815,2025-11-10,14958.46,Abierto
802,6531,2025-01-25,14323.7,Cerrado
803,13409,2025-12-24,13826.32,Abierto
804,5193,2025-08-23,767.61,Abierto
805,14256,2025-04-07,3088.12,Cerrado
807,22910,2025-07-30,13637.84,Rechazado
809,3561,2025-09-27,4364.29,Abierto
810,11163,2026-02-08,6044.37,Abierto
811,22989,2025-07-12,14492.11,Cerrado
812,7450,2025-08-09,7610.44,Abierto
813,1969,2025-05-23,5858.6,Abierto
815,9848,2025-01-18,1187.79,Abierto
818,14589,2025-02-18,11864.54,Abierto
819,5330,2025-04-28,9561.37,Rechazado
820,24370,2025-10-30,4963.22,Cerrado
822,3042,2025-10-18,11626.56,Abierto
823,5148,2025-12-04,14340.42,Abierto
824,18973,2025-04-08,9516.18,Cerrado
826,12367,2026-01-17,9969.24,Cerrado
827,24558,2025-08-12,3709.87,Cerrado
831,9957,2025-03-12,8993.77,Rechazado
832,3475,2025-12-22,9461.23,Rechazado
833,6103,2025-05-04,13411.06,Abierto
836,23099,2025-03-16,688.22,Abierto
837,1687,2025-07-06,1640.78,Cerrado
841,4360,2025-02-01,12737.06,Abierto
842,19198,2025-08-27,10786.07,Abierto
844,5928,2025-11-12,5490.32,Cerrado
845,13175,2025-10-09,4442.61,Rechazado
846,16436,2025-02-09,5636.39,Rechazado
849,12309,2025-04-11,6366.94,Abierto
850,9751,2025-04-23,9186.57,Rechazado
851,17927,2025-02-17,501.54,Abierto
852,12066,2025-09-11,2254.6,Cerrado
853,19756,2025-12-29,9050.18,Cerrado
855,2289,2025-10-05,1159.96,Rechazado
856,25525,2025-07-01,10915.67,Abierto
857,1484,2025-06-29,1471.64,Cerrado
858,2946,2026-01-13,12490.65,Rechazado
859,22653,2025-08-18,7300.88,Cerrado
860,15538,2025-01-07,14296.85,Abierto
863,6005,2025-01-06,13650.52,Cerrado
864,20430,2025-10-05,13342.56,Cerrado
866,18456,2025-03-25,13514.54,Cerrado
867,3500,2025-05-22,9701.84,Abierto
870,15653,2025-09-09,8242.35,Rechazado
872,16566,2025-11-20,4539.83,Abierto
873,15212,2025-07-21,8365.73,Abierto
874,18047,2025-11-22,10000.73,Rechazado
875,18074,2025-04-05,13160.02,Cerrado
878,10168,2025-10-22,8935.21,Cerrado
881,1160,2025-02-13,14837.14,Cerrado
882,15099,2025-04-11,6468.18,Rechazado
883,8904,2025-04-27,6133.42,Cerrado
887,15902,2025-06-28,4924.89,Cerrado
889,3295,2025-03-30,3508.23,Abierto
890,12963,2025-07-26,4734.11,Rechazado
895,19216,2026-01-14,7478.23,Abierto
897,15786,2025-02-24,7020.23,Cerrado
899,13030,2026-01-29,348.08,Cerrado
900,17242,2025-06-25,4820.85,Rechazado
901,9443,2025-08-04,9973.45,Rechazado
903,24211,2025-04-21,1906.88,Cerrado
904,20112,2026-05-01,-14404.26,Abierto
905,19964,2025-11-03,862.86,Cerrado
906,11499,2025-11-11,10802.07,Rechazado
909,23985,2025-04-15,10199.91,Rechazado
913,24281,2025-06-18,559.31,Rechazado
914,3674,2025-02-15,822.39,Abierto
916,21501,2025-06-11,13527.3,Abierto
918,7889,2025-01-25,9589.21,Rechazado
919,1612,2025-01-17,3709.68,Abierto
921,635,2025-05-18,8664.03,Rechazado
922,21030,2025-08-12,9249.04,Abierto
923,15771,2025-06-07,4528.7,Cerrado
925,13202,2025-06-03,9733.32,Abierto
928,19642,2025-10-14,3641.04,Rechazado
932,18329,2026-02-13,12118.68,Cerrado
935,9187,2025-05-21,9943.93,Rechazado
936,20440,2025-05-26,9412.71,Rechazado
937,17087,2025-04-27,11588.54,Rechazado
940,14722,2025-07-26,12050.35,Abierto
941,8357,2025-05-08,6459.51,Abierto
945,3389,2026-01-11,3574.17,Abierto
946,6105,2025-01-06,7893.41,Abierto
948,25579,2026-02-15,2845.66,Abierto
949,6109,2025-01-07,1755.99,Abierto
953,13907,2025-02-24,11543.65,Cerrado
954,5140,2025-05-20,8041.41,Rechazado
955,20635,2025-04-20,3080.23,Rechazado
957,24483,2025-10-21,11523.16,Abierto
965,1471,2026-01-09,11318.24,Cerrado
966,18796,2025-01-09,3648.68,Cerrado
967,1199,2025-03-20,13030.52,Cerrado
968,5183,2025-07-19,7366.53,Abierto
970,15665,2025-01-21,10080.9,Abierto
971,3878,2025-05-18,13000.22,Cerrado
972,8783,2025-05-20,11852.24,Abierto
977,24253,2026-02-20,2092.45,Abierto
978,22436,2025-03-26,8311.65,Abierto
981,7969,2025-01-04,6736.39,Abierto
982,2212,2025-03-04,9426.16,Abierto
983,6254,2025-07-10,1576.27,Cerrado
987,285,2026-01-29,2407.18,Cerrado
988,13768,2025-06-13,13570.71,Abierto
989,8745,2025-07-30,6809.15,Rechazado
990,5952,2025-04-05,-12460.96,Cerrado
993,2043,2025-09-30,8645.4,Cerrado
995,25741,2026-01-27,12613.58,Cerrado
996,21960,2025-11-21,860.32,Abierto
998,24397,2025-08-30,8487.11,Cerrado
1003,22903,2025-08-01,14621.41,Abierto
1004,25647,2025-12-27,10855.63,Cerrado
1007,5235,2025-04-23,3436.21,Rechazado
1009,595,2025-07-31,12266.0,Cerrado
1010,766,2025-01-29,1055.61,Cerrado
1011,21442,2025-03-26,13421.57,Cerrado
1012,4651,2025-08-05,8060.87,Cerrado
1016,16618,2025-09-16,2878.66,Rechazado
1018,21542,2025-04-06,8348.28,Rechazado
1022,22714,2025-10-15,2551.17,Cerrado
1023,24296,2025-11-22,2166.64,Rechazado
1024,16567,2025-08-25,5252.85,Cerrado
1025,4210,2025-07-23,9442.08,Abierto
1027,15572,2025-06-29,12459.2,Cerrado
1029,7880,2025-01-23,6128.39,Abierto
1032,3331,2025-06-06,13707.48,Abierto
1034,2399,2025-01-20,6493.63,Rechazado
1036,17772,2026-01-14,10598.48,Rechazado
1037,23259,2026-09-01,10301.15,Rechazado
1038,8757,2025-04-18,581.68,Abierto
1040,20928,2025-11-20,13560.16,Rechazado
1041,10322,2026-02-12,5303.75,Cerrado
1042,8757,2026-01-01,2918.19,Abierto
1043,4254,2025-01-31,11298.38,Cerrado
1047,15632,2025-11-24,4927.0,Abierto
1048,649,2025-01-26,7422.33,Cerrado
1049,6326,2025-09-27,12496.34,Cerrado
1050,18759,2025-10-02,14754.13,Abierto
1051,8317,2025-05-28,10460.32,Rechazado
1052,10082,2025-05-13,933.54,Cerrado
1053,8739,2025-07-01,13256.69,Abierto
1054,178,2025-02-22,8796.59,Abierto
1056,3455,2025-08-17,4182.88,Rechazado
1057,12563,2025-07-24,8110.11,Abierto
1058,19074,2025-02-20,10412.27,Cerrado
1061,25739,2025-09-03,10090.98,Abierto
1065,21567,2025-08-23,10277.84,Abierto
1067,3241,2025-01-04,2155.91,Rechazado
1068,22744,2025-07-16,6905.13,Abierto
1069,3723,2025-01-02,1091.83,Rechazado
1071,6778,2025-08-27,5828.56,Abierto
1072,24530,2025-08-01,2521.52,Cerrado
1073,8355,2025-01-22,13989.65,Cerrado
1074,15640,2025-09-15,1922.21,Cerrado
1075,14674,2025-01-06,5148.29,Cerrado
1077,6270,2025-08-26,1997.62,Abierto
1079,11635,2025-07-09,14296.79,Abierto
1080,14736,2025-11-28,3743.04,Rechazado
1083,1337,2025-06-22,224.42,Cerrado
